Profile Summary
Generated on: 2022-04-10 16:33:25
Msec since Epoch: 1649576005142
Profiled application: host
Target platform: 
Tool version: 2020.2
XRT build version: 2.9.317
Build version branch: 2020.2_PU1
Build version hash: b0230e59e22351fb957dc46a6e68d7560e5f630c
Build version date: N/A 
Target devices: xilinx_u200_xdma_201830_2-0
Flow mode: Hardware Emulation

OpenCL API Calls
API Name,Number Of Calls,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
clWaitForEvents,2,51005.8,1.26632,25502.9,51004.6,
clCreateProgramWithBinary,1,26529.2,26529.2,26529.2,26529.2,
clFinish,2,25.7575,0.00374,12.8787,25.7537,
clCreateKernel,1,17.3476,17.3476,17.3476,17.3476,
clSetKernelArg,41,1.74891,0.00289,0.0426564,1.11169,
clEnqueueTask,1,0.721317,0.721317,0.721317,0.721317,
clEnqueueWriteBuffer,3,0.206449,0.01254,0.0688163,0.179299,
clGetDeviceIDs,5,0.115269,0.00641,0.0230538,0.08148,
clGetDeviceInfo,2,0.10084,0.00747,0.05042,0.09337,
clEnqueueReadBuffer,1,0.07486,0.07486,0.07486,0.07486,
clGetExtensionFunctionAddress,2,0.074669,0.019769,0.0373345,0.0549,
clReleaseMemObject,12,0.05238,0.0029,0.004365,0.00919,
clGetPlatformInfo,6,0.04211,0.00622,0.00701833,0.0081,
clCreateContext,1,0.03992,0.03992,0.03992,0.03992,
clEnqueueMigrateMemObjects,1,0.033719,0.033719,0.033719,0.033719,
clCreateBuffer,4,0.0298,0.00318,0.00745,0.01807,
clRetainMemObject,8,0.02578,0.00294,0.0032225,0.00451,
clGetExtensionFunctionAddressForPlatform,2,0.02342,0.007,0.01171,0.01642,
clGetEventProfilingInfo,2,0.02295,0.00715,0.011475,0.0158,
clRetainEvent,2,0.02091,0.00897,0.010455,0.01194,
clReleaseEvent,2,0.01901,0.00737,0.009505,0.01164,
clRetainDevice,3,0.01387,0.00313,0.00462333,0.00732,
clReleaseDevice,3,0.01353,0.00308,0.00451,0.00691,
clCreateCommandQueue,1,0.01215,0.01215,0.01215,0.01215,
clGetProgramInfo,2,0.00811,0.00337,0.004055,0.00474,
clReleaseProgram,1,0.0078,0.0078,0.0078,0.0078,
clReleaseCommandQueue,1,0.00778,0.00778,0.00778,0.00778,
clReleaseContext,1,0.00771,0.00771,0.00771,0.00771,
clGetProgramBuildInfo,2,0.00762,0.00332,0.00381,0.0043,
clReleaseKernel,1,0.00735,0.00735,0.00735,0.00735,
clBuildProgram,1,0.00722,0.00722,0.00722,0.00722,


Kernel Execution (includes estimated device times)
Kernel,Number Of Enqueues,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
Conv_sysarr,1,0.085886,0.085886,0.085886,0.085886,


Compute Unit Utilization (includes estimated device times)
Device,Compute Unit,Kernel,Global Work Size,Local Work Size,Number Of Calls,Dataflow Execution,Max Overlapping Executions,Dataflow Acceleration,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),Clock Frequency (MHz),


Data Transfer: Host to Global Memory
Context:Number of Devices,Transfer Type,Number Of Buffer Transfers,Transfer Rate (MB/s),Average Bandwidth Utilization (%),Average Buffer Size (KB),Total Time (ms),Average Time (ms),
context0:1,READ,1,N/A,N/A,32.768,N/A,N/A,
context0:1,WRITE,3,N/A,N/A,13.0667,N/A,N/A,


Data Transfer: Kernels to Global Memory
Device,Compute Unit/Port Name,Kernel Arguments,Memory Resources,Transfer Type,Number Of Transfers,Transfer Rate (MB/s),Average Bandwidth Utilization (%),Average Size (KB),Average Latency (ns),


Top Data Transfer: Kernels to Global Memory
Device,Compute Unit,Number of Transfers,Average Bytes per Transfer,Transfer Efficiency (%),Total Data Transfer (MB),Total Write (MB),Total Read (MB),Total Transfer Rate (MB/s),


Top Kernel Execution
Kernel Instance Address,Kernel,Context ID,Command Queue ID,Device,Start Time (ms),Duration (ms),Global Work Size,Local Work Size,
94542637615888,Conv_sysarr,0,0,xilinx_u200_xdma_201830_2-0,0.025144,0.085886,1:1:1,1:1:1,


Top Memory Writes: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Writing Rate(MB/s),
0,0,0,26774.2,N/A,0.032,N/A,
34359738368,0,0,26783.7,N/A,20.736,N/A,
17179869184,0,0,26774.2,N/A,18.432,N/A,


Top Memory Reads: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Reading Rate(MB/s),
51539607552,0,0,77805.7,N/A,32.768,N/A,


Guidance Parameters
Parameter,Element,Value,
DEVICE_EXEC_TIME,xilinx_u200_xdma_201830_2-0,0.085886,
CU_CALLS,xilinx_u200_xdma_201830_2-0|Conv_sysarr_1,1,
NUM_MONITORS,xilinx_u200_xdma_201830_2-0|XCL_PERF_MON_ACCEL|0,0,
NUM_MONITORS,xilinx_u200_xdma_201830_2-0|XCL_PERF_MON_MEMORY|0,0,
NUM_MONITORS,xilinx_u200_xdma_201830_2-0|XCL_PERF_MON_STR|0,0,
MIGRATE_MEM,host,1,
MEMORY_USAGE,xilinx_u200_xdma_201830_2-0|DDR[0],1,
MEMORY_USAGE,xilinx_u200_xdma_201830_2-0|DDR[1],1,
MEMORY_USAGE,xilinx_u200_xdma_201830_2-0|DDR[2],1,
MEMORY_USAGE,xilinx_u200_xdma_201830_2-0|DDR[3],1,
MEMORY_USAGE,xilinx_u200_xdma_201830_2-0|PLRAM[0],0,
MEMORY_USAGE,xilinx_u200_xdma_201830_2-0|PLRAM[1],0,
MEMORY_USAGE,xilinx_u200_xdma_201830_2-0|PLRAM[2],0,
PLRAM_DEVICE,all,1,
HBM_DEVICE,all,0,
KDMA_DEVICE,all,1,
P2P_DEVICE,all,1,
P2P_HOST_TRANSFERS,host,0,
PORT_BIT_WIDTH,Conv_sysarr_1/m_axi_gmem0,128,
PORT_BIT_WIDTH,Conv_sysarr_1/m_axi_gmem1,128,
PORT_BIT_WIDTH,Conv_sysarr_1/m_axi_gmem2,128,
PORT_BIT_WIDTH,Conv_sysarr_1/m_axi_gmem3,512,
KERNEL_COUNT,Conv_sysarr,1,
OBJECTS_RELEASED,all,0,
TRACE_MEMORY,all,NA,
CU_CONTEXT_EN,all,0,
MAX_PARALLEL_KERNEL_ENQUEUES,Conv_sysarr,1,
COMMAND_QUEUE_OOO,94542637629232,1,
PLRAM_SIZE_BYTES,xilinx_u200_xdma_201830_2-0,131072,
KERNEL_BUFFER_INFO,Conv_sysarr|bias_in|DDR[0]|1,32,
KERNEL_BUFFER_INFO,Conv_sysarr|weight_in|DDR[1]|1,18432,
KERNEL_BUFFER_INFO,Conv_sysarr|data_in|DDR[2]|1,20736,
KERNEL_BUFFER_INFO,Conv_sysarr|conv_out|DDR[3]|1,32768,
MEMORY_TYPE_BIT_WIDTH,xilinx_u200_xdma_201830_2-0|DDR,512,
MEMORY_TYPE_BIT_WIDTH,xilinx_u200_xdma_201830_2-0|HBM,256,
MEMORY_TYPE_BIT_WIDTH,xilinx_u200_xdma_201830_2-0|PLRAM,512,
XRT_INI_SETTING,aie_trace_buffer_size,8M,
XRT_INI_SETTING,continuous_trace,0,
XRT_INI_SETTING,continuous_trace_interval_ms,10,
XRT_INI_SETTING,data_transfer_trace,coarse,
XRT_INI_SETTING,launch_waveform,batch,
XRT_INI_SETTING,lop_trace,0,
XRT_INI_SETTING,power_profile,0,
XRT_INI_SETTING,profile,1,
XRT_INI_SETTING,stall_trace,off,
XRT_INI_SETTING,timeline_trace,1,
XRT_INI_SETTING,trace_buffer_size,128G,
XRT_INI_SETTING,verbosity,4,
BUFFER_RD_ACTIVE_TIME_MS,all,1.13681,
BUFFER_WR_ACTIVE_TIME_MS,all,25.575,
BUFFER_TX_ACTIVE_TIME_MS,all,51032.7,
APPLICATION_RUN_TIME_MS,all,77807.8,
TOTAL_KERNEL_RUN_TIME_MS,all,51004.7,


