Timeline Trace
Generated on: 2022-05-26 13:48:19
Msec since Epoch: 1653540499151
Profiled application: host
Target platform: Xilinx
Tool version: 2020.2
XRT build version: 2.9.317
Build version branch: 2020.2_PU1
Build version hash: b0230e59e22351fb957dc46a6e68d7560e5f630c
Build version date: N/A 


Time_msec,Name,Event,Address_Port,Size,Latency_cycles,Start_cycles,End_cycles,Latency_usec,Start_msec,End_msec,
197.089542,clGetExtensionFunctionAddress|General,START,,,,,,,,,,,0,
197.122882,clGetExtensionFunctionAddressForPlatform|General,START,,,,,,,,,,,1,
197.139321,clGetExtensionFunctionAddressForPlatform|General,END,,,,,,,,,,,1,
197.146671,clGetExtensionFunctionAddress|General,END,,,,,,,,,,,0,
197.155801,clGetExtensionFunctionAddress|General,START,,,,,,,,,,,2,
197.162981,clGetExtensionFunctionAddressForPlatform|General,START,,,,,,,,,,,3,
197.170271,clGetExtensionFunctionAddressForPlatform|General,END,,,,,,,,,,,3,
197.176531,clGetExtensionFunctionAddress|General,END,,,,,,,,,,,2,
197.191331,clGetPlatformInfo|General,START,,,,,,,,,,,4,
197.199271,clGetPlatformInfo|General,END,,,,,,,,,,,4,
197.205761,clGetPlatformInfo|General,START,,,,,,,,,,,5,
197.212281,clGetPlatformInfo|General,END,,,,,,,,,,,5,
197.218841,clGetPlatformInfo|General,START,,,,,,,,,,,6,
197.225331,clGetPlatformInfo|General,END,,,,,,,,,,,6,
197.231371,clGetPlatformInfo|General,START,,,,,,,,,,,7,
197.237521,clGetPlatformInfo|General,END,,,,,,,,,,,7,
197.25668,clGetDeviceIDs|General,START,,,,,,,,,,,8,
197.33154,clGetDeviceIDs|General,END,,,,,,,,,,,8,
197.35005,clGetDeviceIDs|General,START,,,,,,,,,,,9,
197.36323,clGetDeviceIDs|General,END,,,,,,,,,,,9,
197.37009,clGetDeviceIDs|General,START,,,,,,,,,,,10,
197.377069,clGetDeviceIDs|General,END,,,,,,,,,,,10,
197.407389,clGetPlatformInfo|General,START,,,,,,,,,,,11,
197.414839,clGetPlatformInfo|General,END,,,,,,,,,,,11,
197.421719,clGetPlatformInfo|General,START,,,,,,,,,,,12,
197.428389,clGetPlatformInfo|General,END,,,,,,,,,,,12,
197.436339,clGetDeviceIDs|General,START,,,,,,,,,,,13,
197.443039,clGetDeviceIDs|General,END,,,,,,,,,,,13,
197.450579,clGetDeviceIDs|General,START,,,,,,,,,,,14,
197.457269,clGetDeviceIDs|General,END,,,,,,,,,,,14,
197.465619,clRetainDevice|General,START,,,,,,,,,,,15,
197.473249,clRetainDevice|General,END,,,,,,,,,,,15,
197.495238,clGetDeviceInfo|General,START,,,,,,,,,,,16,
197.588388,clGetDeviceInfo|General,END,,,,,,,,,,,16,
197.596358,clGetDeviceInfo|General,START,,,,,,,,,,,17,
