Compute Units: Running Time and Stalls
Compute Unit, Running Time (us), Intra-Kernel Dataflow Stalls (%), External Memory Stalls (%), External Stream Stalls (%)
Conv_sysarr_1,26328.658,83.585,0.400,0.000

Functions: Running Time and Stalls
Compute Unit, Function, Running Time (us), Intra-Kernel Dataflow Stalls (%), External Memory Stalls (%), External Stream Stalls (%)
Conv_sysarr_1,grp_dataflow_parent_loop_proc44_fu_1446,26225.881,83.585,0.336,0.000
Conv_sysarr_1,grp_dataflow_parent_loop_proc44_fu_1446/dataflow_parent_loop_proc42_U0,26225.881,83.585,0.336,0.000

Compute Units: Port Data Transfer
Compute Unit, Port, Write Time (us), Outstanding Write (%), Read Time (us), Outstanding Read (%)
Conv_sysarr_1,m_axi_gmem0,0.000,0.000,0.017,0.000
Conv_sysarr_1,m_axi_gmem1,0.000,0.000,72.638,0.276
Conv_sysarr_1,m_axi_gmem2,0.000,0.000,133.403,0.507
Conv_sysarr_1,m_axi_gmem3,967.824,3.676,585.580,2.224

