Compute Units: Running Time and Stalls
Compute Unit, Running Time (us), Intra-Kernel Dataflow Stalls (%), External Memory Stalls (%), External Stream Stalls (%)
Conv_sysarr_1,563.609,21.096,4.530,0.000

Functions: Running Time and Stalls
Compute Unit, Function, Running Time (us), Intra-Kernel Dataflow Stalls (%), External Memory Stalls (%), External Stream Stalls (%)
Conv_sysarr_1,grp_dataflow_parent_loop_proc44_fu_1469,539.331,21.096,1.410,0.000
Conv_sysarr_1,grp_dataflow_parent_loop_proc44_fu_1469/dataflow_parent_loop_proc42_U0,539.331,21.096,1.410,0.000

Compute Units: Port Data Transfer
Compute Unit, Port, Write Time (us), Outstanding Write (%), Read Time (us), Outstanding Read (%)
Conv_sysarr_1,m_axi_gmem0,0.000,0.000,0.083,0.015
Conv_sysarr_1,m_axi_gmem1,0.000,0.000,17.924,3.180
Conv_sysarr_1,m_axi_gmem2,0.000,0.000,10.749,1.907
Conv_sysarr_1,m_axi_gmem3,40.401,7.168,15.320,2.718

