Timeline Trace
Generated on: 2022-06-03 14:07:06
Msec since Epoch: 1654232826479
Profiled application: host_resnet
Target platform: Xilinx
Tool version: 2020.2
XRT build version: 2.9.317
Build version branch: 2020.2_PU1
Build version hash: b0230e59e22351fb957dc46a6e68d7560e5f630c
Build version date: N/A 


Time_msec,Name,Event,Address_Port,Size,Latency_cycles,Start_cycles,End_cycles,Latency_usec,Start_msec,End_msec,
177.531716,clGetExtensionFunctionAddress|General,START,,,,,,,,,,,0,
177.552806,clGetExtensionFunctionAddressForPlatform|General,START,,,,,,,,,,,1,
177.561786,clGetExtensionFunctionAddressForPlatform|General,END,,,,,,,,,,,1,
177.565266,clGetExtensionFunctionAddress|General,END,,,,,,,,,,,0,
177.569216,clGetExtensionFunctionAddress|General,START,,,,,,,,,,,2,
177.572516,clGetExtensionFunctionAddressForPlatform|General,START,,,,,,,,,,,3,
177.575946,clGetExtensionFunctionAddressForPlatform|General,END,,,,,,,,,,,3,
177.578966,clGetExtensionFunctionAddress|General,END,,,,,,,,,,,2,
177.587156,clGetPlatformInfo|General,START,,,,,,,,,,,4,
177.590986,clGetPlatformInfo|General,END,,,,,,,,,,,4,
177.594126,clGetPlatformInfo|General,START,,,,,,,,,,,5,
177.597326,clGetPlatformInfo|General,END,,,,,,,,,,,5,
177.600536,clGetPlatformInfo|General,START,,,,,,,,,,,6,
177.603806,clGetPlatformInfo|General,END,,,,,,,,,,,6,
177.606836,clGetPlatformInfo|General,START,,,,,,,,,,,7,
177.609896,clGetPlatformInfo|General,END,,,,,,,,,,,7,
177.617026,clGetDeviceIDs|General,START,,,,,,,,,,,8,
177.675966,clGetDeviceIDs|General,END,,,,,,,,,,,8,
177.685226,clGetDeviceIDs|General,START,,,,,,,,,,,9,
177.691536,clGetDeviceIDs|General,END,,,,,,,,,,,9,
177.694766,clGetDeviceIDs|General,START,,,,,,,,,,,10,
177.698216,clGetDeviceIDs|General,END,,,,,,,,,,,10,
177.718506,clGetPlatformInfo|General,START,,,,,,,,,,,11,
177.721956,clGetPlatformInfo|General,END,,,,,,,,,,,11,
177.725136,clGetPlatformInfo|General,START,,,,,,,,,,,12,
177.728286,clGetPlatformInfo|General,END,,,,,,,,,,,12,
177.732206,clGetDeviceIDs|General,START,,,,,,,,,,,13,
177.735416,clGetDeviceIDs|General,END,,,,,,,,,,,13,
177.739186,clGetDeviceIDs|General,START,,,,,,,,,,,14,
177.742376,clGetDeviceIDs|General,END,,,,,,,,,,,14,
177.746686,clRetainDevice|General,START,,,,,,,,,,,15,
177.750366,clRetainDevice|General,END,,,,,,,,,,,15,
177.760936,clGetDeviceInfo|General,START,,,,,,,,,,,16,
177.800346,clGetDeviceInfo|General,END,,,,,,,,,,,16,
177.804106,clGetDeviceInfo|General,START,,,,,,,,,,,17,
177.808196,clGetDeviceInfo|General,END,,,,,,,,,,,17,
177.817276,clCreateContext|General,START,,,,,,,,,,,18,
177.833126,clCreateContext|General,END,,,,,,,,,,,18,
177.837116,clCreateCommandQueue|General,START,,,,,,,,,,,19,
177.843576,clCreateCommandQueue|General,END,,,,,,,,,,,19,
177.977176,clCreateProgramWithBinary|General,START,,,,,,,,,,,20,
202.242989,clCreateProgramWithBinary|General,END,,,,,,,,,,,20,
202.279829,clBuildProgram|General,START,,,,,,,,,,,21,
202.293649,clBuildProgram|General,END,,,,,,,,,,,21,
202.301509,clGetProgramInfo|General,START,,,,,,,,,,,22,
202.312059,clGetProgramInfo|General,END,,,,,,,,,,,22,
202.319389,clGetProgramInfo|General,START,,,,,,,,,,,23,
202.326929,clGetProgramInfo|General,END,,,,,,,,,,,23,
202.335669,clRetainDevice|General,START,,,,,,,,,,,24,
202.343039,clRetainDevice|General,END,,,,,,,,,,,24,
202.351149,clGetProgramBuildInfo|General,START,,,,,,,,,,,25,
202.360219,clGetProgramBuildInfo|General,END,,,,,,,,,,,25,
202.368209,clGetProgramBuildInfo|General,START,,,,,,,,,,,26,
202.375629,clGetProgramBuildInfo|General,END,,,,,,,,,,,26,
202.384719,clRetainDevice|General,START,,,,,,,,,,,27,
202.391579,clRetainDevice|General,END,,,,,,,,,,,27,
202.401479,clReleaseDevice|General,START,,,,,,,,,,,28,
202.409459,clReleaseDevice|General,END,,,,,,,,,,,28,
202.416469,clReleaseDevice|General,START,,,,,,,,,,,29,
202.423289,clReleaseDevice|General,END,,,,,,,,,,,29,
202.430639,clCreateKernel|General,START,,,,,,,,,,,30,
204.178951,clCreateKernel|General,END,,,,,,,,,,,30,
3654.543688,clCreateBuffer|General,START,,,,,,,,,,,31,
3654.714608,clCreateBuffer|General,END,,,,,,,,,,,31,
3654.719338,clCreateBuffer|General,START,,,,,,,,,,,32,
3654.760159,clCreateBuffer|General,END,,,,,,,,,,,32,
3654.763709,clCreateBuffer|General,START,,,,,,,,,,,33,
3654.803279,clCreateBuffer|General,END,,,,,,,,,,,33,
3654.807489,clCreateBuffer|General,START,,,,,,,,,,,34,
3654.838429,clCreateBuffer|General,END,,,,,,,,,,,34,
3654.843799,clSetKernelArg|General,START,,,,,,,,,,,35,
3654.852499,clSetKernelArg|General,END,,,,,,,,,,,35,
3654.855699,clSetKernelArg|General,START,,,,,,,,,,,36,
3654.859209,clSetKernelArg|General,END,,,,,,,,,,,36,
3654.862289,clSetKernelArg|General,START,,,,,,,,,,,37,
3654.865639,clSetKernelArg|General,END,,,,,,,,,,,37,
3654.868619,clSetKernelArg|General,START,,,,,,,,,,,38,
3654.871909,clSetKernelArg|General,END,,,,,,,,,,,38,
3654.875479,clRetainMemObject|General,START,,,,,,,,,,,39,
3654.879809,clRetainMemObject|General,END,,,,,,,,,,,39,
3654.883059,clRetainMemObject|General,START,,,,,,,,,,,40,
3654.886459,clRetainMemObject|General,END,,,,,,,,,,,40,
3654.889539,clRetainMemObject|General,START,,,,,,,,,,,41,
3654.892789,clRetainMemObject|General,END,,,,,,,,,,,41,
3654.895799,clRetainMemObject|General,START,,,,,,,,,,,42,
3654.898849,clRetainMemObject|General,END,,,,,,,,,,,42,
3654.903089,clRetainMemObject|General,START,,,,,,,,,,,43,
3654.907239,clRetainMemObject|General,END,,,,,,,,,,,43,
3654.910289,clRetainMemObject|General,START,,,,,,,,,,,44,
3654.913399,clRetainMemObject|General,END,,,,,,,,,,,44,
3654.916429,clRetainMemObject|General,START,,,,,,,,,,,45,
3654.919479,clRetainMemObject|General,END,,,,,,,,,,,45,
3654.922479,clRetainMemObject|General,START,,,,,,,,,,,46,
3654.925519,clRetainMemObject|General,END,,,,,,,,,,,46,
3654.930829,clEnqueueMigrateMemObjects|94071108369232,START,,,,,,,,,,,47,
3654.975749,clEnqueueMigrateMemObjects|94071108369232,END,,,,,,,,,,,47,
3654.980039,clReleaseMemObject|General,START,,,,,,,,,,,48,
3654.983879,clReleaseMemObject|General,END,,,,,,,,,,,48,
3654.986989,clReleaseMemObject|General,START,,,,,,,,,,,49,
3654.990199,clReleaseMemObject|General,END,,,,,,,,,,,49,
3654.993189,clReleaseMemObject|General,START,,,,,,,,,,,50,
3654.996339,clReleaseMemObject|General,END,,,,,,,,,,,50,
3654.999339,clReleaseMemObject|General,START,,,,,,,,,,,51,
3655.002399,clReleaseMemObject|General,END,,,,,,,,,,,51,
3655.005659,clReleaseMemObject|General,START,,,,,,,,,,,52,
3655.009809,clReleaseMemObject|General,END,,,,,,,,,,,52,
3655.012829,clReleaseMemObject|General,START,,,,,,,,,,,53,
3655.015919,clReleaseMemObject|General,END,,,,,,,,,,,53,
3655.018899,clReleaseMemObject|General,START,,,,,,,,,,,54,
3655.021969,clReleaseMemObject|General,END,,,,,,,,,,,54,
3655.024929,clReleaseMemObject|General,START,,,,,,,,,,,55,
3655.027939,clReleaseMemObject|General,END,,,,,,,,,,,55,
3655.031149,clFinish|General,START,,,,,,,,,,,56,
3655.035089,clFinish|General,END,,,,,,,,,,,56,
3655.043129,clEnqueueWriteBuffer|94071108369232,START,,,,,,,,,,,57,
3655.053899,WRITE_BUFFER,QUEUE,0X2000|bank0,12544,,,,,,,,,
3655.063539,WRITE_BUFFER,SUBMIT,0X2000|bank0,12544,,,,,,,,,
3655.232329,clEnqueueWriteBuffer|94071108369232,END,,,,,,,,,,,57,
3655.239219,clEnqueueWriteBuffer|94071108369232,START,,,,,,,,,,,58,
3655.246409,WRITE_BUFFER,QUEUE,0X6000|bank0,64,,,,,,,,,
3655.250999,WRITE_BUFFER,SUBMIT,0X6000|bank0,64,,,,,,,,,
3655.266699,clEnqueueWriteBuffer|94071108369232,END,,,,,,,,,,,58,
3655.270489,clEnqueueWriteBuffer|94071108369232,START,,,,,,,,,,,59,
3655.275789,WRITE_BUFFER,QUEUE,0X7000|bank0,213440,,,,,,,,,
3655.280989,WRITE_BUFFER,SUBMIT,0X7000|bank0,213440,,,,,,,,,
