Timeline Trace
Generated on: 2022-06-04 02:51:18
Msec since Epoch: 1654278678744
Profiled application: host_resnet
Target platform: Xilinx
Tool version: 2020.2
XRT build version: 2.9.317
Build version branch: 2020.2_PU1
Build version hash: b0230e59e22351fb957dc46a6e68d7560e5f630c
Build version date: N/A 


Time_msec,Name,Event,Address_Port,Size,Latency_cycles,Start_cycles,End_cycles,Latency_usec,Start_msec,End_msec,
182.156476,clGetExtensionFunctionAddress|General,START,,,,,,,,,,,0,
182.191816,clGetExtensionFunctionAddressForPlatform|General,START,,,,,,,,,,,1,
182.207316,clGetExtensionFunctionAddressForPlatform|General,END,,,,,,,,,,,1,
182.214476,clGetExtensionFunctionAddress|General,END,,,,,,,,,,,0,
182.223536,clGetExtensionFunctionAddress|General,START,,,,,,,,,,,2,
182.230496,clGetExtensionFunctionAddressForPlatform|General,START,,,,,,,,,,,3,
182.237676,clGetExtensionFunctionAddressForPlatform|General,END,,,,,,,,,,,3,
182.243836,clGetExtensionFunctionAddress|General,END,,,,,,,,,,,2,
182.259555,clGetPlatformInfo|General,START,,,,,,,,,,,4,
182.267635,clGetPlatformInfo|General,END,,,,,,,,,,,4,
182.274085,clGetPlatformInfo|General,START,,,,,,,,,,,5,
182.280655,clGetPlatformInfo|General,END,,,,,,,,,,,5,
182.287345,clGetPlatformInfo|General,START,,,,,,,,,,,6,
182.293935,clGetPlatformInfo|General,END,,,,,,,,,,,6,
182.300045,clGetPlatformInfo|General,START,,,,,,,,,,,7,
182.306575,clGetPlatformInfo|General,END,,,,,,,,,,,7,
182.326825,clGetDeviceIDs|General,START,,,,,,,,,,,8,
182.425785,clGetDeviceIDs|General,END,,,,,,,,,,,8,
182.449605,clGetDeviceIDs|General,START,,,,,,,,,,,9,
182.467965,clGetDeviceIDs|General,END,,,,,,,,,,,9,
182.475935,clGetDeviceIDs|General,START,,,,,,,,,,,10,
182.484155,clGetDeviceIDs|General,END,,,,,,,,,,,10,
182.518635,clGetPlatformInfo|General,START,,,,,,,,,,,11,
182.525725,clGetPlatformInfo|General,END,,,,,,,,,,,11,
182.532305,clGetPlatformInfo|General,START,,,,,,,,,,,12,
182.538955,clGetPlatformInfo|General,END,,,,,,,,,,,12,
182.546845,clGetDeviceIDs|General,START,,,,,,,,,,,13,
182.553495,clGetDeviceIDs|General,END,,,,,,,,,,,13,
182.560855,clGetDeviceIDs|General,START,,,,,,,,,,,14,
182.567475,clGetDeviceIDs|General,END,,,,,,,,,,,14,
182.575865,clRetainDevice|General,START,,,,,,,,,,,15,
182.583345,clRetainDevice|General,END,,,,,,,,,,,15,
182.608935,clGetDeviceInfo|General,START,,,,,,,,,,,16,
182.707565,clGetDeviceInfo|General,END,,,,,,,,,,,16,
182.715745,clGetDeviceInfo|General,START,,,,,,,,,,,17,
182.723095,clGetDeviceInfo|General,END,,,,,,,,,,,17,
182.742525,clCreateContext|General,START,,,,,,,,,,,18,
182.781114,clCreateContext|General,END,,,,,,,,,,,18,
182.789304,clCreateCommandQueue|General,START,,,,,,,,,,,19,
182.801394,clCreateCommandQueue|General,END,,,,,,,,,,,19,
202.722674,clCreateProgramWithBinary|General,START,,,,,,,,,,,20,
28161.21958,clCreateProgramWithBinary|General,END,,,,,,,,,,,20,
28161.27898,clBuildProgram|General,START,,,,,,,,,,,21,
28161.29191,clBuildProgram|General,END,,,,,,,,,,,21,
28161.30002,clGetProgramInfo|General,START,,,,,,,,,,,22,
28161.31207,clGetProgramInfo|General,END,,,,,,,,,,,22,
28161.31947,clGetProgramInfo|General,START,,,,,,,,,,,23,
28161.32708,clGetProgramInfo|General,END,,,,,,,,,,,23,
28161.33624,clRetainDevice|General,START,,,,,,,,,,,24,
28161.34382,clRetainDevice|General,END,,,,,,,,,,,24,
28161.35188,clGetProgramBuildInfo|General,START,,,,,,,,,,,25,
28161.36133,clGetProgramBuildInfo|General,END,,,,,,,,,,,25,
28161.36997,clGetProgramBuildInfo|General,START,,,,,,,,,,,26,
28161.37786,clGetProgramBuildInfo|General,END,,,,,,,,,,,26,
28161.38782,clRetainDevice|General,START,,,,,,,,,,,27,
28161.39544,clRetainDevice|General,END,,,,,,,,,,,27,
28161.4099,clReleaseDevice|General,START,,,,,,,,,,,28,
28161.41872,clReleaseDevice|General,END,,,,,,,,,,,28,
28161.42631,clReleaseDevice|General,START,,,,,,,,,,,29,
28161.43356,clReleaseDevice|General,END,,,,,,,,,,,29,
28161.44122,clCreateKernel|General,START,,,,,,,,,,,30,
28170.18118,clCreateKernel|General,END,,,,,,,,,,,30,
28297.33016,clCreateBuffer|General,START,,,,,,,,,,,31,
28298.47125,clCreateBuffer|General,END,,,,,,,,,,,31,
28298.53145,clCreateBuffer|General,START,,,,,,,,,,,32,
28298.80136,clCreateBuffer|General,END,,,,,,,,,,,32,
28298.84013,clCreateBuffer|General,START,,,,,,,,,,,33,
28300.4818,clCreateBuffer|General,END,,,,,,,,,,,33,
28300.5068,clCreateBuffer|General,START,,,,,,,,,,,34,
28300.82503,clCreateBuffer|General,END,,,,,,,,,,,34,
28300.83513,clSetKernelArg|General,START,,,,,,,,,,,35,
28300.85103,clSetKernelArg|General,END,,,,,,,,,,,35,
28300.85802,clSetKernelArg|General,START,,,,,,,,,,,36,
28300.86593,clSetKernelArg|General,END,,,,,,,,,,,36,
28300.87251,clSetKernelArg|General,START,,,,,,,,,,,37,
28300.8802,clSetKernelArg|General,END,,,,,,,,,,,37,
28300.88702,clSetKernelArg|General,START,,,,,,,,,,,38,
28300.8943,clSetKernelArg|General,END,,,,,,,,,,,38,
28300.90153,clRetainMemObject|General,START,,,,,,,,,,,39,
28300.9126,clRetainMemObject|General,END,,,,,,,,,,,39,
28300.91995,clRetainMemObject|General,START,,,,,,,,,,,40,
28300.92749,clRetainMemObject|General,END,,,,,,,,,,,40,
28300.93414,clRetainMemObject|General,START,,,,,,,,,,,41,
28300.94121,clRetainMemObject|General,END,,,,,,,,,,,41,
28300.94792,clRetainMemObject|General,START,,,,,,,,,,,42,
28300.95467,clRetainMemObject|General,END,,,,,,,,,,,42,
28300.96267,clRetainMemObject|General,START,,,,,,,,,,,43,
28300.96976,clRetainMemObject|General,END,,,,,,,,,,,43,
28300.97636,clRetainMemObject|General,START,,,,,,,,,,,44,
28300.98307,clRetainMemObject|General,END,,,,,,,,,,,44,
28300.98968,clRetainMemObject|General,START,,,,,,,,,,,45,
28300.99636,clRetainMemObject|General,END,,,,,,,,,,,45,
28301.00291,clRetainMemObject|General,START,,,,,,,,,,,46,
28301.00983,clRetainMemObject|General,END,,,,,,,,,,,46,
28301.01959,clEnqueueMigrateMemObjects|93992359216672,START,,,,,,,,,,,47,
28301.09171,clEnqueueMigrateMemObjects|93992359216672,END,,,,,,,,,,,47,
28301.10094,clReleaseMemObject|General,START,,,,,,,,,,,48,
28301.10962,clReleaseMemObject|General,END,,,,,,,,,,,48,
28301.11668,clReleaseMemObject|General,START,,,,,,,,,,,49,
28301.12387,clReleaseMemObject|General,END,,,,,,,,,,,49,
28301.13051,clReleaseMemObject|General,START,,,,,,,,,,,50,
28301.13747,clReleaseMemObject|General,END,,,,,,,,,,,50,
28301.14406,clReleaseMemObject|General,START,,,,,,,,,,,51,
28301.15084,clReleaseMemObject|General,END,,,,,,,,,,,51,
28301.15788,clReleaseMemObject|General,START,,,,,,,,,,,52,
28301.16499,clReleaseMemObject|General,END,,,,,,,,,,,52,
28301.17163,clReleaseMemObject|General,START,,,,,,,,,,,53,
28301.17846,clReleaseMemObject|General,END,,,,,,,,,,,53,
28301.18503,clReleaseMemObject|General,START,,,,,,,,,,,54,
28301.19179,clReleaseMemObject|General,END,,,,,,,,,,,54,
28301.19828,clReleaseMemObject|General,START,,,,,,,,,,,55,
28301.20497,clReleaseMemObject|General,END,,,,,,,,,,,55,
28301.21202,clFinish|General,START,,,,,,,,,,,56,
28301.22012,clFinish|General,END,,,,,,,,,,,56,
28301.24726,clEnqueueWriteBuffer|93992359216672,START,,,,,,,,,,,57,
28301.26551,WRITE_BUFFER,QUEUE,0X400000000|bank1,12544,,,,,,,,,
28301.28359,WRITE_BUFFER,SUBMIT,0X400000000|bank1,12544,,,,,,,,,
28301.50733,clEnqueueWriteBuffer|93992359216672,END,,,,,,,,,,,57,
28301.51941,clEnqueueWriteBuffer|93992359216672,START,,,,,,,,,,,58,
28301.53114,WRITE_BUFFER,QUEUE,0X400004000|bank1,64,,,,,,,,,
28301.5418,WRITE_BUFFER,SUBMIT,0X400004000|bank1,64,,,,,,,,,
28301.55304,clEnqueueWriteBuffer|93992359216672,END,,,,,,,,,,,58,
28301.56116,clEnqueueWriteBuffer|93992359216672,START,,,,,,,,,,,59,
28301.57391,WRITE_BUFFER,QUEUE,0X400005000|bank1,14720,,,,,,,,,
28301.58358,WRITE_BUFFER,SUBMIT,0X400005000|bank1,14720,,,,,,,,,
