Profile Summary
Generated on: 2022-05-26 14:25:28
Msec since Epoch: 1653542728342
Profiled application: host
Target platform: 
Tool version: 2020.2
XRT build version: 2.9.317
Build version branch: 2020.2_PU1
Build version hash: b0230e59e22351fb957dc46a6e68d7560e5f630c
Build version date: N/A 
Target devices: xilinx_u200_xdma_201830_2-0
Flow mode: Hardware Emulation

OpenCL API Calls
API Name,Number Of Calls,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
clWaitForEvents,2,307027,0.651141,153513,307026,
clCreateProgramWithBinary,1,20256.8,20256.8,20256.8,20256.8,
clFinish,2,22.2242,0.00402,11.1121,22.2202,
clCreateKernel,1,5.48057,5.48057,5.48057,5.48057,
clSetKernelArg,41,1.87158,0.00611,0.0456484,1.18332,
clEnqueueTask,1,1.07388,1.07388,1.07388,1.07388,
clEnqueueWriteBuffer,3,0.19153,0.01297,0.0638433,0.16165,
clGetDeviceIDs,5,0.12046,0.00667,0.024092,0.08695,
clGetDeviceInfo,2,0.102221,0.0076,0.0511105,0.094621,
clEnqueueReadBuffer,1,0.07726,0.07726,0.07726,0.07726,
clGetExtensionFunctionAddress,2,0.07662,0.02037,0.03831,0.05625,
clReleaseMemObject,12,0.05685,0.00299,0.0047375,0.01033,
clEnqueueMigrateMemObjects,1,0.047561,0.047561,0.047561,0.047561,
clGetPlatformInfo,6,0.04136,0.00629,0.00689333,0.00788,
clCreateContext,1,0.03797,0.03797,0.03797,0.03797,
clRetainMemObject,8,0.02688,0.00304,0.00336,0.00489,
clCreateBuffer,4,0.02578,0.00325,0.006445,0.0151,
clGetEventProfilingInfo,2,0.02569,0.00794,0.012845,0.01775,
clGetExtensionFunctionAddressForPlatform,2,0.02492,0.00709,0.01246,0.01783,
clReleaseDevice,3,0.02229,0.0067,0.00743,0.00793,
clRetainDevice,3,0.02191,0.00674,0.00730333,0.00767,
clReleaseEvent,2,0.02113,0.00778,0.010565,0.01335,
clRetainEvent,2,0.0195,0.00898,0.00975,0.01052,
clGetProgramInfo,2,0.01766,0.00737,0.00883,0.01029,
clGetProgramBuildInfo,2,0.01669,0.00721,0.008345,0.00948,
clBuildProgram,1,0.01571,0.01571,0.01571,0.01571,
clCreateCommandQueue,1,0.01188,0.01188,0.01188,0.01188,
clReleaseProgram,1,0.00965,0.00965,0.00965,0.00965,
clReleaseCommandQueue,1,0.0086,0.0086,0.0086,0.0086,
clReleaseContext,1,0.00826,0.00826,0.00826,0.00826,
clReleaseKernel,1,0.00789,0.00789,0.00789,0.00789,


Kernel Execution (includes estimated device times)
Kernel,Number Of Enqueues,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
Conv_sysarr,1,0.783475,0.783475,0.783475,0.783475,


Compute Unit Utilization (includes estimated device times)
Device,Compute Unit,Kernel,Global Work Size,Local Work Size,Number Of Calls,Dataflow Execution,Max Overlapping Executions,Dataflow Acceleration,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),Clock Frequency (MHz),


Data Transfer: Host to Global Memory
Context:Number of Devices,Transfer Type,Number Of Buffer Transfers,Transfer Rate (MB/s),Average Bandwidth Utilization (%),Average Buffer Size (KB),Total Time (ms),Average Time (ms),
context0:1,READ,1,N/A,N/A,16.384,N/A,N/A,
context0:1,WRITE,3,N/A,N/A,5.38133,N/A,N/A,


Data Transfer: Kernels to Global Memory
Device,Compute Unit/Port Name,Kernel Arguments,Memory Resources,Transfer Type,Number Of Transfers,Transfer Rate (MB/s),Average Bandwidth Utilization (%),Average Size (KB),Average Latency (ns),


Top Data Transfer: Kernels to Global Memory
Device,Compute Unit,Number of Transfers,Average Bytes per Transfer,Transfer Efficiency (%),Total Data Transfer (MB),Total Write (MB),Total Read (MB),Total Transfer Rate (MB/s),


Top Kernel Execution
Kernel Instance Address,Kernel,Context ID,Command Queue ID,Device,Start Time (ms),Duration (ms),Global Work Size,Local Work Size,
93861663691424,Conv_sysarr,0,0,xilinx_u200_xdma_201830_2-0,0.030822,0.783475,1:1:1,1:1:1,


Top Memory Writes: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Writing Rate(MB/s),
0,0,0,20488.7,N/A,0.016,N/A,
34359738368,0,0,20496.6,N/A,11.52,N/A,
17179869184,0,0,20488.7,N/A,4.608,N/A,


Top Memory Reads: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Reading Rate(MB/s),
51539607552,0,0,327539,N/A,16.384,N/A,


Guidance Parameters
Parameter,Element,Value,
DEVICE_EXEC_TIME,xilinx_u200_xdma_201830_2-0,0.783475,
CU_CALLS,xilinx_u200_xdma_201830_2-0|Conv_sysarr_1,1,
NUM_MONITORS,xilinx_u200_xdma_201830_2-0|XCL_PERF_MON_ACCEL|0,0,
NUM_MONITORS,xilinx_u200_xdma_201830_2-0|XCL_PERF_MON_MEMORY|0,0,
NUM_MONITORS,xilinx_u200_xdma_201830_2-0|XCL_PERF_MON_STR|0,0,
MIGRATE_MEM,host,1,
MEMORY_USAGE,xilinx_u200_xdma_201830_2-0|DDR[0],1,
MEMORY_USAGE,xilinx_u200_xdma_201830_2-0|DDR[1],1,
MEMORY_USAGE,xilinx_u200_xdma_201830_2-0|DDR[2],1,
MEMORY_USAGE,xilinx_u200_xdma_201830_2-0|DDR[3],1,
MEMORY_USAGE,xilinx_u200_xdma_201830_2-0|PLRAM[0],0,
MEMORY_USAGE,xilinx_u200_xdma_201830_2-0|PLRAM[1],0,
MEMORY_USAGE,xilinx_u200_xdma_201830_2-0|PLRAM[2],0,
PLRAM_DEVICE,all,1,
HBM_DEVICE,all,0,
KDMA_DEVICE,all,1,
P2P_DEVICE,all,1,
P2P_HOST_TRANSFERS,host,0,
PORT_BIT_WIDTH,Conv_sysarr_1/m_axi_gmem0,32,
PORT_BIT_WIDTH,Conv_sysarr_1/m_axi_gmem1,32,
PORT_BIT_WIDTH,Conv_sysarr_1/m_axi_gmem2,32,
PORT_BIT_WIDTH,Conv_sysarr_1/m_axi_gmem3,128,
KERNEL_COUNT,Conv_sysarr,1,
OBJECTS_RELEASED,all,0,
TRACE_MEMORY,all,NA,
CU_CONTEXT_EN,all,0,
MAX_PARALLEL_KERNEL_ENQUEUES,Conv_sysarr,1,
COMMAND_QUEUE_OOO,93861663645488,1,
PLRAM_SIZE_BYTES,xilinx_u200_xdma_201830_2-0,131072,
KERNEL_BUFFER_INFO,Conv_sysarr|bias_in|DDR[0]|1,16,
KERNEL_BUFFER_INFO,Conv_sysarr|weight_in|DDR[1]|1,4608,
KERNEL_BUFFER_INFO,Conv_sysarr|data_in|DDR[2]|1,11520,
KERNEL_BUFFER_INFO,Conv_sysarr|conv_out|DDR[3]|1,16384,
MEMORY_TYPE_BIT_WIDTH,xilinx_u200_xdma_201830_2-0|DDR,512,
MEMORY_TYPE_BIT_WIDTH,xilinx_u200_xdma_201830_2-0|HBM,256,
MEMORY_TYPE_BIT_WIDTH,xilinx_u200_xdma_201830_2-0|PLRAM,512,
XRT_INI_SETTING,aie_trace_buffer_size,8M,
XRT_INI_SETTING,continuous_trace,0,
XRT_INI_SETTING,continuous_trace_interval_ms,10,
XRT_INI_SETTING,data_transfer_trace,coarse,
XRT_INI_SETTING,launch_waveform,batch,
XRT_INI_SETTING,lop_trace,0,
XRT_INI_SETTING,power_profile,0,
XRT_INI_SETTING,profile,1,
XRT_INI_SETTING,stall_trace,off,
XRT_INI_SETTING,timeline_trace,1,
XRT_INI_SETTING,trace_buffer_size,128G,
XRT_INI_SETTING,verbosity,4,
BUFFER_RD_ACTIVE_TIME_MS,all,0.5348,
BUFFER_WR_ACTIVE_TIME_MS,all,22.0059,
BUFFER_TX_ACTIVE_TIME_MS,all,307051,
APPLICATION_RUN_TIME_MS,all,327540,
TOTAL_KERNEL_RUN_TIME_MS,all,307026,


