Compute Units: Running Time and Stalls
Compute Unit, Running Time (us), Intra-Kernel Dataflow Stalls (%), External Memory Stalls (%), External Stream Stalls (%)
Conv_sysarr_1,74.775,1.284,0.490,0.000

Functions: Running Time and Stalls
Compute Unit, Function, Running Time (us), Intra-Kernel Dataflow Stalls (%), External Memory Stalls (%), External Stream Stalls (%)
Conv_sysarr_1,grp_dataflow_parent_loop_proc28_fu_1499,72.291,1.284,0.000,0.000
Conv_sysarr_1,grp_dataflow_parent_loop_proc28_fu_1499/dataflow_parent_loop_proc26_U0,72.291,1.284,0.000,0.000

Compute Units: Port Data Transfer
Compute Unit, Port, Write Time (us), Outstanding Write (%), Read Time (us), Outstanding Read (%)
Conv_sysarr_1,m_axi_gmem0,0.000,0.000,0.017,0.022
Conv_sysarr_1,m_axi_gmem1,0.000,0.000,3.877,5.185
Conv_sysarr_1,m_axi_gmem2,0.000,0.000,5.731,7.665
Conv_sysarr_1,m_axi_gmem3,9.375,12.538,7.145,9.555

