Timeline Trace
Generated on: 2022-04-05 16:04:17
Msec since Epoch: 1649142257596
Profiled application: host
Target platform: Xilinx
Tool version: 2020.2
XRT build version: 2.9.317
Build version branch: 2020.2_PU1
Build version hash: b0230e59e22351fb957dc46a6e68d7560e5f630c
Build version date: N/A 


Time_msec,Name,Event,Address_Port,Size,Latency_cycles,Start_cycles,End_cycles,Latency_usec,Start_msec,End_msec,
2.71576,clGetExtensionFunctionAddress|General,START,,,,,,,,,,,0,
2.735337,clGetExtensionFunctionAddressForPlatform|General,START,,,,,,,,,,,1,
2.745256,clGetExtensionFunctionAddressForPlatform|General,END,,,,,,,,,,,1,
2.748943,clGetExtensionFunctionAddress|General,END,,,,,,,,,,,0,
2.753492,clGetExtensionFunctionAddress|General,START,,,,,,,,,,,2,
2.756888,clGetExtensionFunctionAddressForPlatform|General,START,,,,,,,,,,,3,
2.760375,clGetExtensionFunctionAddressForPlatform|General,END,,,,,,,,,,,3,
2.76334,clGetExtensionFunctionAddress|General,END,,,,,,,,,,,2,
2.766937,clGetPlatformInfo|General,START,,,,,,,,,,,4,
2.771035,clGetPlatformInfo|General,END,,,,,,,,,,,4,
2.774011,clGetPlatformInfo|General,START,,,,,,,,,,,5,
2.777297,clGetPlatformInfo|General,END,,,,,,,,,,,5,
2.780513,clGetPlatformInfo|General,START,,,,,,,,,,,6,
2.783619,clGetPlatformInfo|General,END,,,,,,,,,,,6,
2.786474,clGetPlatformInfo|General,START,,,,,,,,,,,7,
2.78944,clGetPlatformInfo|General,END,,,,,,,,,,,7,
40.554872,clGetDeviceIDs|General,START,,,,,,,,,,,8,
40.624505,clGetDeviceIDs|General,END,,,,,,,,,,,8,
40.636408,clGetDeviceIDs|General,START,,,,,,,,,,,9,
40.6427,clGetDeviceIDs|General,END,,,,,,,,,,,9,
40.645866,clGetDeviceIDs|General,START,,,,,,,,,,,10,
40.647489,clGetDeviceIDs|General,END,,,,,,,,,,,10,
40.659902,clGetPlatformInfo|General,START,,,,,,,,,,,11,
40.661986,clGetPlatformInfo|General,END,,,,,,,,,,,11,
40.663539,clGetPlatformInfo|General,START,,,,,,,,,,,12,
40.665032,clGetPlatformInfo|General,END,,,,,,,,,,,12,
40.667016,clGetDeviceIDs|General,START,,,,,,,,,,,13,
40.668669,clGetDeviceIDs|General,END,,,,,,,,,,,13,
40.670653,clGetDeviceIDs|General,START,,,,,,,,,,,14,
40.672146,clGetDeviceIDs|General,END,,,,,,,,,,,14,
40.67439,clRetainDevice|General,START,,,,,,,,,,,15,
