Timeline Trace
Generated on: 2022-04-05 15:31:13
Msec since Epoch: 1649140273639
Profiled application: host
Target platform: Xilinx
Tool version: 2020.2
XRT build version: 2.9.317
Build version branch: 2020.2_PU1
Build version hash: b0230e59e22351fb957dc46a6e68d7560e5f630c
Build version date: N/A 


Time_msec,Name,Event,Address_Port,Size,Latency_cycles,Start_cycles,End_cycles,Latency_usec,Start_msec,End_msec,
9.876275,clGetExtensionFunctionAddress|General,START,,,,,,,,,,,0,
9.886004,clGetExtensionFunctionAddressForPlatform|General,START,,,,,,,,,,,1,
9.890733,clGetExtensionFunctionAddressForPlatform|General,END,,,,,,,,,,,1,
9.892566,clGetExtensionFunctionAddress|General,END,,,,,,,,,,,0,
9.89463,clGetExtensionFunctionAddress|General,START,,,,,,,,,,,2,
9.896253,clGetExtensionFunctionAddressForPlatform|General,START,,,,,,,,,,,3,
9.897856,clGetExtensionFunctionAddressForPlatform|General,END,,,,,,,,,,,3,
9.899169,clGetExtensionFunctionAddress|General,END,,,,,,,,,,,2,
9.901253,clGetPlatformInfo|General,START,,,,,,,,,,,4,
9.903126,clGetPlatformInfo|General,END,,,,,,,,,,,4,
9.904489,clGetPlatformInfo|General,START,,,,,,,,,,,5,
9.905941,clGetPlatformInfo|General,END,,,,,,,,,,,5,
9.907394,clGetPlatformInfo|General,START,,,,,,,,,,,6,
9.908747,clGetPlatformInfo|General,END,,,,,,,,,,,6,
9.910009,clGetPlatformInfo|General,START,,,,,,,,,,,7,
9.911322,clGetPlatformInfo|General,END,,,,,,,,,,,7,
46.204169,clGetDeviceIDs|General,START,,,,,,,,,,,8,
46.256538,clGetDeviceIDs|General,END,,,,,,,,,,,8,
46.264744,clGetDeviceIDs|General,START,,,,,,,,,,,9,
46.268371,clGetDeviceIDs|General,END,,,,,,,,,,,9,
46.270024,clGetDeviceIDs|General,START,,,,,,,,,,,10,
46.271697,clGetDeviceIDs|General,END,,,,,,,,,,,10,
46.28357,clGetPlatformInfo|General,START,,,,,,,,,,,11,
46.285804,clGetPlatformInfo|General,END,,,,,,,,,,,11,
46.287377,clGetPlatformInfo|General,START,,,,,,,,,,,12,
46.28892,clGetPlatformInfo|General,END,,,,,,,,,,,12,
46.290813,clGetDeviceIDs|General,START,,,,,,,,,,,13,
46.293398,clGetDeviceIDs|General,END,,,,,,,,,,,13,
46.295853,clGetDeviceIDs|General,START,,,,,,,,,,,14,
46.297366,clGetDeviceIDs|General,END,,,,,,,,,,,14,
46.302025,clRetainDevice|General,START,,,,,,,,,,,15,
46.304088,clRetainDevice|General,END,,,,,,,,,,,15,
46.314668,clGetDeviceInfo|General,START,,,,,,,,,,,16,
46.357379,clGetDeviceInfo|General,END,,,,,,,,,,,16,
46.359774,clGetDeviceInfo|General,START,,,,,,,,,,,17,
46.361818,clGetDeviceInfo|General,END,,,,,,,,,,,17,
46.366968,clCreateContext|General,START,,,,,,,,,,,18,
46.37869,clCreateContext|General,END,,,,,,,,,,,18,
46.380974,clCreateCommandQueue|General,START,,,,,,,,,,,19,
46.385994,clCreateCommandQueue|General,END,,,,,,,,,,,19,
65.799179,clCreateProgramWithBinary|General,START,,,,,,,,,,,20,
18443.02673,clCreateProgramWithBinary|General,END,,,,,,,,,,,20,
18443.04716,clBuildProgram|General,START,,,,,,,,,,,21,
18443.05211,clBuildProgram|General,END,,,,,,,,,,,21,
18443.05477,clGetProgramInfo|General,START,,,,,,,,,,,22,
18443.05777,clGetProgramInfo|General,END,,,,,,,,,,,22,
18443.05952,clGetProgramInfo|General,START,,,,,,,,,,,23,
18443.06132,clGetProgramInfo|General,END,,,,,,,,,,,23,
