Compute Units: Running Time and Stalls
Compute Unit, Running Time (us), Intra-Kernel Dataflow Stalls (%), External Memory Stalls (%), External Stream Stalls (%)
Conv_sysarr_1,56.635,0.000,0.677,0.000

Functions: Running Time and Stalls
Compute Unit, Function, Running Time (us), Intra-Kernel Dataflow Stalls (%), External Memory Stalls (%), External Stream Stalls (%)
Conv_sysarr_1,grp_dataflow_parent_loop_proc38_fu_9168,54.147,0.000,0.000,0.000
Conv_sysarr_1,grp_dataflow_parent_loop_proc38_fu_9168/dataflow_parent_loop_proc36_U0,54.147,0.000,0.000,0.000

Compute Units: Port Data Transfer
Compute Unit, Port, Write Time (us), Outstanding Write (%), Read Time (us), Outstanding Read (%)
Conv_sysarr_1,m_axi_gmem0,0.000,0.000,0.013,0.024
Conv_sysarr_1,m_axi_gmem1,0.000,0.000,3.881,6.852
Conv_sysarr_1,m_axi_gmem2,0.000,0.000,5.741,10.137
Conv_sysarr_1,m_axi_gmem3,9.395,16.589,7.145,12.616

