Profile Summary
Generated on: 2022-04-13 15:27:02
Msec since Epoch: 1649831222844
Profiled application: host
Target platform: 
Tool version: 2020.2
XRT build version: 2.9.317
Build version branch: 2020.2_PU1
Build version hash: b0230e59e22351fb957dc46a6e68d7560e5f630c
Build version date: N/A 
Target devices: xilinx_u200_xdma_201830_2-0
Flow mode: Hardware Emulation

OpenCL API Calls
API Name,Number Of Calls,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
clWaitForEvents,2,431051,0.885567,215525,431050,
clCreateProgramWithBinary,1,222413,222413,222413,222413,
clCreateKernel,1,63.7611,63.7611,63.7611,63.7611,
clFinish,2,61.0251,0.00818,30.5126,61.0169,
clSetKernelArg,41,19.1987,0.00667,0.468261,17.6303,
clEnqueueTask,1,1.02517,1.02517,1.02517,1.02517,
clEnqueueWriteBuffer,3,0.363248,0.028269,0.121083,0.304539,
clGetDeviceIDs,5,0.11503,0.00666,0.023006,0.08143,
clGetDeviceInfo,2,0.1043,0.00766,0.05215,0.09664,
clReleaseMemObject,12,0.08933,0.00678,0.00744417,0.00983,
clEnqueueMigrateMemObjects,1,0.077199,0.077199,0.077199,0.077199,
clGetExtensionFunctionAddress,2,0.07538,0.02023,0.03769,0.05515,
clEnqueueReadBuffer,1,0.065989,0.065989,0.065989,0.065989,
clRetainMemObject,8,0.06146,0.00678,0.0076825,0.01118,
clGetPlatformInfo,6,0.04131,0.00632,0.006885,0.00788,
clCreateContext,1,0.03908,0.03908,0.03908,0.03908,
clCreateBuffer,4,0.033359,0.00331,0.00833975,0.021039,
clGetEventProfilingInfo,2,0.02432,0.00803,0.01216,0.01629,
clGetExtensionFunctionAddressForPlatform,2,0.02393,0.00706,0.011965,0.01687,
clReleaseEvent,2,0.02334,0.00818,0.01167,0.01516,
clRetainEvent,2,0.0219,0.00844,0.01095,0.01346,
clReleaseDevice,3,0.01472,0.00323,0.00490667,0.00775,
clRetainDevice,3,0.01453,0.00337,0.00484333,0.00761,
clCreateCommandQueue,1,0.01213,0.01213,0.01213,0.01213,
clGetProgramInfo,2,0.00984,0.00344,0.00492,0.0064,
clReleaseCommandQueue,1,0.00917,0.00917,0.00917,0.00917,
clReleaseProgram,1,0.00914,0.00914,0.00914,0.00914,
clReleaseContext,1,0.00865,0.00865,0.00865,0.00865,
clReleaseKernel,1,0.00829,0.00829,0.00829,0.00829,
clGetProgramBuildInfo,2,0.00829,0.00363,0.004145,0.00466,
clBuildProgram,1,0.00697,0.00697,0.00697,0.00697,


Kernel Execution (includes estimated device times)
Kernel,Number Of Enqueues,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
Conv_sysarr,1,0.066609,0.066609,0.066609,0.066609,


Compute Unit Utilization (includes estimated device times)
Device,Compute Unit,Kernel,Global Work Size,Local Work Size,Number Of Calls,Dataflow Execution,Max Overlapping Executions,Dataflow Acceleration,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),Clock Frequency (MHz),


Data Transfer: Host to Global Memory
Context:Number of Devices,Transfer Type,Number Of Buffer Transfers,Transfer Rate (MB/s),Average Bandwidth Utilization (%),Average Buffer Size (KB),Total Time (ms),Average Time (ms),
context0:1,READ,1,N/A,N/A,32.768,N/A,N/A,
context0:1,WRITE,3,N/A,N/A,13.0667,N/A,N/A,


Data Transfer: Kernels to Global Memory
Device,Compute Unit/Port Name,Kernel Arguments,Memory Resources,Transfer Type,Number Of Transfers,Transfer Rate (MB/s),Average Bandwidth Utilization (%),Average Size (KB),Average Latency (ns),


Top Data Transfer: Kernels to Global Memory
Device,Compute Unit,Number of Transfers,Average Bytes per Transfer,Transfer Efficiency (%),Total Data Transfer (MB),Total Write (MB),Total Read (MB),Total Transfer Rate (MB/s),


Top Kernel Execution
Kernel Instance Address,Kernel,Context ID,Command Queue ID,Device,Start Time (ms),Duration (ms),Global Work Size,Local Work Size,
94281497498224,Conv_sysarr,0,0,xilinx_u200_xdma_201830_2-0,0.00471,0.066609,1:1:1,1:1:1,


Top Memory Writes: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Writing Rate(MB/s),
17179869184,0,0,222722,N/A,18.432,N/A,
0,0,0,222722,N/A,0.032,N/A,
34359738368,0,0,222754,N/A,20.736,N/A,


Top Memory Reads: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Reading Rate(MB/s),
51539607552,0,0,653835,N/A,32.768,N/A,


Guidance Parameters
Parameter,Element,Value,
DEVICE_EXEC_TIME,xilinx_u200_xdma_201830_2-0,0.066609,
CU_CALLS,xilinx_u200_xdma_201830_2-0|Conv_sysarr_1,1,
NUM_MONITORS,xilinx_u200_xdma_201830_2-0|XCL_PERF_MON_ACCEL|0,0,
NUM_MONITORS,xilinx_u200_xdma_201830_2-0|XCL_PERF_MON_MEMORY|0,0,
NUM_MONITORS,xilinx_u200_xdma_201830_2-0|XCL_PERF_MON_STR|0,0,
MIGRATE_MEM,host,1,
MEMORY_USAGE,xilinx_u200_xdma_201830_2-0|DDR[0],1,
MEMORY_USAGE,xilinx_u200_xdma_201830_2-0|DDR[1],1,
MEMORY_USAGE,xilinx_u200_xdma_201830_2-0|DDR[2],1,
MEMORY_USAGE,xilinx_u200_xdma_201830_2-0|DDR[3],1,
MEMORY_USAGE,xilinx_u200_xdma_201830_2-0|PLRAM[0],0,
MEMORY_USAGE,xilinx_u200_xdma_201830_2-0|PLRAM[1],0,
MEMORY_USAGE,xilinx_u200_xdma_201830_2-0|PLRAM[2],0,
PLRAM_DEVICE,all,1,
HBM_DEVICE,all,0,
KDMA_DEVICE,all,1,
P2P_DEVICE,all,1,
P2P_HOST_TRANSFERS,host,0,
PORT_BIT_WIDTH,Conv_sysarr_1/m_axi_gmem0,128,
PORT_BIT_WIDTH,Conv_sysarr_1/m_axi_gmem1,128,
PORT_BIT_WIDTH,Conv_sysarr_1/m_axi_gmem2,128,
PORT_BIT_WIDTH,Conv_sysarr_1/m_axi_gmem3,512,
KERNEL_COUNT,Conv_sysarr,1,
OBJECTS_RELEASED,all,0,
TRACE_MEMORY,all,NA,
CU_CONTEXT_EN,all,0,
MAX_PARALLEL_KERNEL_ENQUEUES,Conv_sysarr,1,
COMMAND_QUEUE_OOO,94281497522960,1,
PLRAM_SIZE_BYTES,xilinx_u200_xdma_201830_2-0,131072,
KERNEL_BUFFER_INFO,Conv_sysarr|bias_in|DDR[0]|1,32,
KERNEL_BUFFER_INFO,Conv_sysarr|weight_in|DDR[1]|1,18432,
KERNEL_BUFFER_INFO,Conv_sysarr|data_in|DDR[2]|1,20736,
KERNEL_BUFFER_INFO,Conv_sysarr|conv_out|DDR[3]|1,32768,
MEMORY_TYPE_BIT_WIDTH,xilinx_u200_xdma_201830_2-0|DDR,512,
MEMORY_TYPE_BIT_WIDTH,xilinx_u200_xdma_201830_2-0|HBM,256,
MEMORY_TYPE_BIT_WIDTH,xilinx_u200_xdma_201830_2-0|PLRAM,512,
XRT_INI_SETTING,aie_trace_buffer_size,8M,
XRT_INI_SETTING,continuous_trace,0,
XRT_INI_SETTING,continuous_trace_interval_ms,10,
XRT_INI_SETTING,data_transfer_trace,coarse,
XRT_INI_SETTING,launch_waveform,batch,
XRT_INI_SETTING,lop_trace,0,
XRT_INI_SETTING,power_profile,0,
XRT_INI_SETTING,profile,1,
XRT_INI_SETTING,stall_trace,off,
XRT_INI_SETTING,timeline_trace,1,
XRT_INI_SETTING,trace_buffer_size,128G,
XRT_INI_SETTING,verbosity,4,
BUFFER_RD_ACTIVE_TIME_MS,all,0.784008,
BUFFER_WR_ACTIVE_TIME_MS,all,60.6698,
BUFFER_TX_ACTIVE_TIME_MS,all,431113,
APPLICATION_RUN_TIME_MS,all,653837,
TOTAL_KERNEL_RUN_TIME_MS,all,431050,


