Profile Summary
Generated on: 2022-04-19 01:50:06
Msec since Epoch: 1650300606617
Profiled application: host
Target platform: 
Tool version: 2020.2
XRT build version: 2.9.317
Build version branch: 2020.2_PU1
Build version hash: b0230e59e22351fb957dc46a6e68d7560e5f630c
Build version date: N/A 
Target devices: xilinx_u200_xdma_201830_2-0
Flow mode: Hardware Emulation

OpenCL API Calls
API Name,Number Of Calls,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
clWaitForEvents,2,71010.1,2.00783,35505.1,71008.1,
clCreateProgramWithBinary,1,42112.3,42112.3,42112.3,42112.3,
clFinish,2,28.8306,0.00812,14.4153,28.8225,
clCreateKernel,1,25.0192,25.0192,25.0192,25.0192,
clEnqueueTask,1,5.73017,5.73017,5.73017,5.73017,
clSetKernelArg,41,2.92383,0.00642,0.0713129,1.94579,
clEnqueueWriteBuffer,3,0.342728,0.03286,0.114243,0.276498,
clGetDeviceInfo,2,0.101469,0.00745,0.0507345,0.094019,
clGetDeviceIDs,5,0.100199,0.00634,0.0200398,0.067699,
clReleaseMemObject,12,0.08601,0.00656,0.0071675,0.00974,
clGetExtensionFunctionAddress,2,0.07928,0.01973,0.03964,0.05955,
clEnqueueMigrateMemObjects,1,0.07213,0.07213,0.07213,0.07213,
clEnqueueReadBuffer,1,0.066369,0.066369,0.066369,0.066369,
clCreateBuffer,4,0.06595,0.0036,0.0164875,0.05024,
clRetainMemObject,8,0.05923,0.00661,0.00740375,0.0105,
clCreateContext,1,0.04039,0.04039,0.04039,0.04039,
clGetPlatformInfo,6,0.03979,0.00603,0.00663167,0.0076,
clReleaseEvent,2,0.02245,0.00795,0.011225,0.0145,
clGetEventProfilingInfo,2,0.02221,0.00772,0.011105,0.01449,
clGetExtensionFunctionAddressForPlatform,2,0.02205,0.00684,0.011025,0.01521,
clRetainEvent,2,0.02134,0.00775,0.01067,0.01359,
clReleaseDevice,3,0.019219,0.00551,0.00640633,0.007499,
clRetainDevice,3,0.01834,0.00545,0.00611333,0.00724,
clGetProgramInfo,2,0.01446,0.00567,0.00723,0.00879,
clGetProgramBuildInfo,2,0.01397,0.00614,0.006985,0.00783,
clCreateCommandQueue,1,0.01276,0.01276,0.01276,0.01276,
clBuildProgram,1,0.01124,0.01124,0.01124,0.01124,
clReleaseCommandQueue,1,0.00891,0.00891,0.00891,0.00891,
clReleaseProgram,1,0.00847,0.00847,0.00847,0.00847,
clReleaseContext,1,0.00829,0.00829,0.00829,0.00829,
clReleaseKernel,1,0.0081,0.0081,0.0081,0.0081,


Kernel Execution (includes estimated device times)
Kernel,Number Of Enqueues,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
Conv_sysarr,1,0.074913,0.074913,0.074913,0.074913,


Compute Unit Utilization (includes estimated device times)
Device,Compute Unit,Kernel,Global Work Size,Local Work Size,Number Of Calls,Dataflow Execution,Max Overlapping Executions,Dataflow Acceleration,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),Clock Frequency (MHz),
xilinx_u200_xdma_201830_2-0,Conv_sysarr_1,Conv_sysarr,1:1:1,1:1:1,1,Yes,1,1.000000x,0.0637967,0.0637967,0.0637967,0.0637967,300,


Data Transfer: Host to Global Memory
Context:Number of Devices,Transfer Type,Number Of Buffer Transfers,Transfer Rate (MB/s),Average Bandwidth Utilization (%),Average Buffer Size (KB),Total Time (ms),Average Time (ms),
context0:1,READ,1,N/A,N/A,32.768,N/A,N/A,
context0:1,WRITE,3,N/A,N/A,13.0667,N/A,N/A,


Data Transfer: Kernels to Global Memory
Device,Compute Unit/Port Name,Kernel Arguments,Memory Resources,Transfer Type,Number Of Transfers,Transfer Rate (MB/s),Average Bandwidth Utilization (%),Average Size (KB),Average Latency (ns),
xilinx_u200_xdma_201830_2-0,Conv_sysarr_1/m_axi_gmem0,bias_in,DDR[0],READ,1,2400,20.8333,0.032,13.3333,
xilinx_u200_xdma_201830_2-0,Conv_sysarr_1/m_axi_gmem1,weight_in,DDR[1],READ,72,4762.79,41.3437,0.256,495.463,
xilinx_u200_xdma_201830_2-0,Conv_sysarr_1/m_axi_gmem2,data_in,DDR[2],READ,144,3774.76,32.767,0.144,70.3704,
xilinx_u200_xdma_201830_2-0,Conv_sysarr_1/m_axi_gmem3,conv_out,DDR[3],READ,64,9447.77,82.0119,1.024,108.385,
xilinx_u200_xdma_201830_2-0,Conv_sysarr_1/m_axi_gmem3,conv_out,DDR[3],WRITE,96,10720.2,93.0571,1.024,111.528,


Top Data Transfer: Kernels to Global Memory
Device,Compute Unit,Number of Transfers,Average Bytes per Transfer,Transfer Efficiency (%),Total Data Transfer (MB),Total Write (MB),Total Read (MB),Total Transfer Rate (MB/s),
xilinx_u200_xdma_201830_2-0,Conv_sysarr_1,377,538.568,13.1486,0.20304,0.098304,0.104736,7967.56,


Top Kernel Execution
Kernel Instance Address,Kernel,Context ID,Command Queue ID,Device,Start Time (ms),Duration (ms),Global Work Size,Local Work Size,
94034558993008,Conv_sysarr,0,0,xilinx_u200_xdma_201830_2-0,0.030761,0.074913,1:1:1,1:1:1,


Top Memory Writes: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Writing Rate(MB/s),
0,0,0,42381.7,N/A,0.032,N/A,
34359738368,0,0,42393.1,N/A,20.736,N/A,
17179869184,0,0,42381.7,N/A,18.432,N/A,


Top Memory Reads: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Reading Rate(MB/s),
51539607552,0,0,113425,N/A,32.768,N/A,


Guidance Parameters
Parameter,Element,Value,
DEVICE_EXEC_TIME,xilinx_u200_xdma_201830_2-0,0.074913,
CU_CALLS,xilinx_u200_xdma_201830_2-0|Conv_sysarr_1,1,
NUM_MONITORS,xilinx_u200_xdma_201830_2-0|XCL_PERF_MON_ACCEL|1,1,
NUM_MONITORS,xilinx_u200_xdma_201830_2-0|XCL_PERF_MON_MEMORY|4,4,
NUM_MONITORS,xilinx_u200_xdma_201830_2-0|XCL_PERF_MON_STR|0,0,
MIGRATE_MEM,host,1,
MEMORY_USAGE,xilinx_u200_xdma_201830_2-0|DDR[0],1,
MEMORY_USAGE,xilinx_u200_xdma_201830_2-0|DDR[1],1,
MEMORY_USAGE,xilinx_u200_xdma_201830_2-0|DDR[2],1,
MEMORY_USAGE,xilinx_u200_xdma_201830_2-0|DDR[3],1,
MEMORY_USAGE,xilinx_u200_xdma_201830_2-0|PLRAM[0],0,
MEMORY_USAGE,xilinx_u200_xdma_201830_2-0|PLRAM[1],0,
MEMORY_USAGE,xilinx_u200_xdma_201830_2-0|PLRAM[2],0,
PLRAM_DEVICE,all,1,
HBM_DEVICE,all,0,
KDMA_DEVICE,all,1,
P2P_DEVICE,all,1,
P2P_HOST_TRANSFERS,host,0,
PORT_BIT_WIDTH,Conv_sysarr_1/m_axi_gmem0,128,
PORT_BIT_WIDTH,Conv_sysarr_1/m_axi_gmem1,128,
PORT_BIT_WIDTH,Conv_sysarr_1/m_axi_gmem2,128,
PORT_BIT_WIDTH,Conv_sysarr_1/m_axi_gmem3,512,
KERNEL_COUNT,Conv_sysarr,1,
OBJECTS_RELEASED,all,0,
TRACE_MEMORY,all,NA,
CU_CONTEXT_EN,all,0,
MAX_PARALLEL_KERNEL_ENQUEUES,Conv_sysarr,1,
COMMAND_QUEUE_OOO,94034559017744,1,
PLRAM_SIZE_BYTES,xilinx_u200_xdma_201830_2-0,131072,
KERNEL_BUFFER_INFO,Conv_sysarr|bias_in|DDR[0]|1,32,
KERNEL_BUFFER_INFO,Conv_sysarr|weight_in|DDR[1]|1,18432,
KERNEL_BUFFER_INFO,Conv_sysarr|data_in|DDR[2]|1,20736,
KERNEL_BUFFER_INFO,Conv_sysarr|conv_out|DDR[3]|1,32768,
TRACE_BUFFER_FULL,xilinx_u200_xdma_201830_2-0,0,
MEMORY_TYPE_BIT_WIDTH,xilinx_u200_xdma_201830_2-0|DDR,512,
MEMORY_TYPE_BIT_WIDTH,xilinx_u200_xdma_201830_2-0|HBM,256,
MEMORY_TYPE_BIT_WIDTH,xilinx_u200_xdma_201830_2-0|PLRAM,512,
XRT_INI_SETTING,aie_trace_buffer_size,8M,
XRT_INI_SETTING,continuous_trace,0,
XRT_INI_SETTING,continuous_trace_interval_ms,10,
XRT_INI_SETTING,data_transfer_trace,coarse,
XRT_INI_SETTING,launch_waveform,batch,
XRT_INI_SETTING,lop_trace,0,
XRT_INI_SETTING,power_profile,0,
XRT_INI_SETTING,profile,1,
XRT_INI_SETTING,stall_trace,off,
XRT_INI_SETTING,timeline_trace,1,
XRT_INI_SETTING,trace_buffer_size,128G,
XRT_INI_SETTING,verbosity,4,
BUFFER_RD_ACTIVE_TIME_MS,all,1.70158,
BUFFER_WR_ACTIVE_TIME_MS,all,28.6682,
BUFFER_TX_ACTIVE_TIME_MS,all,71045.4,
APPLICATION_RUN_TIME_MS,all,119417,
TOTAL_KERNEL_RUN_TIME_MS,all,71008.7,


