Timeline Trace
Generated on: 2022-04-19 01:50:06
Msec since Epoch: 1650300606617
Profiled application: host
Target platform: Xilinx
Tool version: 2020.2
XRT build version: 2.9.317
Build version branch: 2020.2_PU1
Build version hash: b0230e59e22351fb957dc46a6e68d7560e5f630c
Build version date: N/A 


Time_msec,Name,Event,Address_Port,Size,Latency_cycles,Start_cycles,End_cycles,Latency_usec,Start_msec,End_msec,
179.179399,clGetExtensionFunctionAddress|General,START,,,,,,,,,,,0,
179.216639,clGetExtensionFunctionAddressForPlatform|General,START,,,,,,,,,,,1,
179.231849,clGetExtensionFunctionAddressForPlatform|General,END,,,,,,,,,,,1,
179.238949,clGetExtensionFunctionAddress|General,END,,,,,,,,,,,0,
179.247779,clGetExtensionFunctionAddress|General,START,,,,,,,,,,,2,
179.254779,clGetExtensionFunctionAddressForPlatform|General,START,,,,,,,,,,,3,
179.261619,clGetExtensionFunctionAddressForPlatform|General,END,,,,,,,,,,,3,
179.267509,clGetExtensionFunctionAddress|General,END,,,,,,,,,,,2,
179.278829,clGetPlatformInfo|General,START,,,,,,,,,,,4,
179.286429,clGetPlatformInfo|General,END,,,,,,,,,,,4,
179.292649,clGetPlatformInfo|General,START,,,,,,,,,,,5,
179.298919,clGetPlatformInfo|General,END,,,,,,,,,,,5,
179.305309,clGetPlatformInfo|General,START,,,,,,,,,,,6,
179.311709,clGetPlatformInfo|General,END,,,,,,,,,,,6,
179.317839,clGetPlatformInfo|General,START,,,,,,,,,,,7,
179.323869,clGetPlatformInfo|General,END,,,,,,,,,,,7,
179.348679,clGetDeviceIDs|General,START,,,,,,,,,,,8,
179.416378,clGetDeviceIDs|General,END,,,,,,,,,,,8,
179.435558,clGetDeviceIDs|General,START,,,,,,,,,,,9,
179.448418,clGetDeviceIDs|General,END,,,,,,,,,,,9,
179.455048,clGetDeviceIDs|General,START,,,,,,,,,,,10,
179.461858,clGetDeviceIDs|General,END,,,,,,,,,,,10,
179.492408,clGetPlatformInfo|General,START,,,,,,,,,,,11,
179.499408,clGetPlatformInfo|General,END,,,,,,,,,,,11,
179.505938,clGetPlatformInfo|General,START,,,,,,,,,,,12,
179.512428,clGetPlatformInfo|General,END,,,,,,,,,,,12,
179.520108,clGetDeviceIDs|General,START,,,,,,,,,,,13,
179.526598,clGetDeviceIDs|General,END,,,,,,,,,,,13,
179.533858,clGetDeviceIDs|General,START,,,,,,,,,,,14,
179.540198,clGetDeviceIDs|General,END,,,,,,,,,,,14,
179.548788,clRetainDevice|General,START,,,,,,,,,,,15,
179.556028,clRetainDevice|General,END,,,,,,,,,,,15,
179.578268,clGetDeviceInfo|General,START,,,,,,,,,,,16,
179.672287,clGetDeviceInfo|General,END,,,,,,,,,,,16,
179.680227,clGetDeviceInfo|General,START,,,,,,,,,,,17,
179.687677,clGetDeviceInfo|General,END,,,,,,,,,,,17,
179.710047,clCreateContext|General,START,,,,,,,,,,,18,
179.750437,clCreateContext|General,END,,,,,,,,,,,18,
179.758287,clCreateCommandQueue|General,START,,,,,,,,,,,19,
179.771047,clCreateCommandQueue|General,END,,,,,,,,,,,19,
203.602476,clCreateProgramWithBinary|General,START,,,,,,,,,,,20,
42315.89444,clCreateProgramWithBinary|General,END,,,,,,,,,,,20,
42315.94992,clBuildProgram|General,START,,,,,,,,,,,21,
42315.96116,clBuildProgram|General,END,,,,,,,,,,,21,
42315.96744,clGetProgramInfo|General,START,,,,,,,,,,,22,
42315.97623,clGetProgramInfo|General,END,,,,,,,,,,,22,
42315.98183,clGetProgramInfo|General,START,,,,,,,,,,,23,
42315.9875,clGetProgramInfo|General,END,,,,,,,,,,,23,
42315.9949,clRetainDevice|General,START,,,,,,,,,,,24,
42316.00055,clRetainDevice|General,END,,,,,,,,,,,24,
42316.00727,clGetProgramBuildInfo|General,START,,,,,,,,,,,25,
42316.0151,clGetProgramBuildInfo|General,END,,,,,,,,,,,25,
42316.02148,clGetProgramBuildInfo|General,START,,,,,,,,,,,26,
42316.02762,clGetProgramBuildInfo|General,END,,,,,,,,,,,26,
42316.03512,clRetainDevice|General,START,,,,,,,,,,,27,
42316.04057,clRetainDevice|General,END,,,,,,,,,,,27,
42316.05214,clReleaseDevice|General,START,,,,,,,,,,,28,
42316.05835,clReleaseDevice|General,END,,,,,,,,,,,28,
42316.06392,clReleaseDevice|General,START,,,,,,,,,,,29,
42316.06943,clReleaseDevice|General,END,,,,,,,,,,,29,
42316.07534,clCreateKernel|General,START,,,,,,,,,,,30,
42341.09449,clCreateKernel|General,END,,,,,,,,,,,30,
42378.25425,clCreateBuffer|General,START,,,,,,,,,,,31,
42378.30449,clCreateBuffer|General,END,,,,,,,,,,,31,
42378.30855,clCreateBuffer|General,START,,,,,,,,,,,32,
42378.3166,clCreateBuffer|General,END,,,,,,,,,,,32,
