Compute Units: Running Time and Stalls
Compute Unit, Running Time (us), Intra-Kernel Dataflow Stalls (%), External Memory Stalls (%), External Stream Stalls (%)
Conv_sysarr_1,66.390,0.000,0.583,0.000

Functions: Running Time and Stalls
Compute Unit, Function, Running Time (us), Intra-Kernel Dataflow Stalls (%), External Memory Stalls (%), External Stream Stalls (%)
Conv_sysarr_1,grp_dataflow_parent_loop_proc38_fu_1489,63.879,0.000,0.000,0.000
Conv_sysarr_1,grp_dataflow_parent_loop_proc38_fu_1489/dataflow_parent_loop_proc36_U0,63.879,0.000,0.000,0.000

Compute Units: Port Data Transfer
Compute Unit, Port, Write Time (us), Outstanding Write (%), Read Time (us), Outstanding Read (%)
Conv_sysarr_1,m_axi_gmem0,0.000,0.000,0.013,0.020
Conv_sysarr_1,m_axi_gmem1,0.000,0.000,3.877,5.840
Conv_sysarr_1,m_axi_gmem2,0.000,0.000,5.741,8.648
Conv_sysarr_1,m_axi_gmem3,9.399,14.157,7.141,10.757

