Profile Summary
Generated on: 2022-04-19 02:24:51
Msec since Epoch: 1650302691009
Profiled application: host
Target platform: 
Tool version: 2020.2
XRT build version: 2.9.317
Build version branch: 2020.2_PU1
Build version hash: b0230e59e22351fb957dc46a6e68d7560e5f630c
Build version date: N/A 
Target devices: xilinx_u200_xdma_201830_2-0
Flow mode: Hardware Emulation

OpenCL API Calls
API Name,Number Of Calls,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
clWaitForEvents,2,73007,1.96692,36503.5,73005.1,
clCreateProgramWithBinary,1,42154.1,42154.1,42154.1,42154.1,
clCreateKernel,1,32.6652,32.6652,32.6652,32.6652,
clFinish,2,30.3126,0.00372,15.1563,30.3089,
clSetKernelArg,41,2.87437,0.00499,0.0701065,2.00649,
clEnqueueTask,1,0.738587,0.738587,0.738587,0.738587,
clEnqueueWriteBuffer,3,0.235789,0.01361,0.0785963,0.204629,
clEnqueueReadBuffer,1,0.234599,0.234599,0.234599,0.234599,
clGetDeviceIDs,5,0.11336,0.00627,0.022672,0.08123,
clGetDeviceInfo,2,0.09969,0.00739,0.049845,0.0923,
clGetExtensionFunctionAddress,2,0.07512,0.01977,0.03756,0.05535,
clReleaseMemObject,12,0.055989,0.00299,0.00466575,0.00992,
clEnqueueMigrateMemObjects,1,0.05181,0.05181,0.05181,0.05181,
clGetPlatformInfo,6,0.039999,0.00606,0.0066665,0.007689,
clCreateContext,1,0.03969,0.03969,0.03969,0.03969,
clCreateBuffer,4,0.03132,0.00332,0.00783,0.02053,
clRetainMemObject,8,0.02773,0.00304,0.00346625,0.00538,
clGetExtensionFunctionAddressForPlatform,2,0.02405,0.007,0.012025,0.01705,
clReleaseDevice,3,0.02303,0.00694,0.00767667,0.00853,
clGetEventProfilingInfo,2,0.02247,0.00799,0.011235,0.01448,
clRetainDevice,3,0.02206,0.00701,0.00735333,0.00756,
clReleaseEvent,2,0.02015,0.0076,0.010075,0.01255,
clGetProgramInfo,2,0.01881,0.00723,0.009405,0.01158,
clGetProgramBuildInfo,2,0.01675,0.00786,0.008375,0.00889,
clRetainEvent,2,0.01626,0.00763,0.00813,0.00863,
clBuildProgram,1,0.012829,0.012829,0.012829,0.012829,
clCreateCommandQueue,1,0.01191,0.01191,0.01191,0.01191,
clReleaseCommandQueue,1,0.00866,0.00866,0.00866,0.00866,
clReleaseProgram,1,0.00839,0.00839,0.00839,0.00839,
clReleaseContext,1,0.0081,0.0081,0.0081,0.0081,
clReleaseKernel,1,0.007539,0.007539,0.007539,0.007539,


Kernel Execution (includes estimated device times)
Kernel,Number Of Enqueues,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
Conv_sysarr,1,0.076988,0.076988,0.076988,0.076988,


Compute Unit Utilization (includes estimated device times)
Device,Compute Unit,Kernel,Global Work Size,Local Work Size,Number Of Calls,Dataflow Execution,Max Overlapping Executions,Dataflow Acceleration,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),Clock Frequency (MHz),
xilinx_u200_xdma_201830_2-0,Conv_sysarr_1,Conv_sysarr,1:1:1,1:1:1,1,Yes,1,1.000000x,0.0664533,0.0664533,0.0664533,0.0664533,300,


Data Transfer: Host to Global Memory
Context:Number of Devices,Transfer Type,Number Of Buffer Transfers,Transfer Rate (MB/s),Average Bandwidth Utilization (%),Average Buffer Size (KB),Total Time (ms),Average Time (ms),
context0:1,READ,1,N/A,N/A,32.768,N/A,N/A,
context0:1,WRITE,3,N/A,N/A,13.0667,N/A,N/A,


Data Transfer: Kernels to Global Memory
Device,Compute Unit/Port Name,Kernel Arguments,Memory Resources,Transfer Type,Number Of Transfers,Transfer Rate (MB/s),Average Bandwidth Utilization (%),Average Size (KB),Average Latency (ns),
xilinx_u200_xdma_201830_2-0,Conv_sysarr_1/m_axi_gmem0,bias_in,DDR[0],READ,1,3200,27.7778,0.032,10,
xilinx_u200_xdma_201830_2-0,Conv_sysarr_1/m_axi_gmem1,weight_in,DDR[1],READ,72,4762.79,41.3437,0.256,495.463,
xilinx_u200_xdma_201830_2-0,Conv_sysarr_1/m_axi_gmem2,data_in,DDR[2],READ,144,3770.18,32.7273,0.144,70.463,
xilinx_u200_xdma_201830_2-0,Conv_sysarr_1/m_axi_gmem3,conv_out,DDR[3],READ,64,9461.41,82.1303,1.024,108.229,
xilinx_u200_xdma_201830_2-0,Conv_sysarr_1/m_axi_gmem3,conv_out,DDR[3],WRITE,96,10712.4,92.9895,1.024,112.257,


Top Data Transfer: Kernels to Global Memory
Device,Compute Unit,Number of Transfers,Average Bytes per Transfer,Transfer Efficiency (%),Total Data Transfer (MB),Total Write (MB),Total Read (MB),Total Transfer Rate (MB/s),
xilinx_u200_xdma_201830_2-0,Conv_sysarr_1,377,538.568,13.1486,0.20304,0.098304,0.104736,7967.56,


Top Kernel Execution
Kernel Instance Address,Kernel,Context ID,Command Queue ID,Device,Start Time (ms),Duration (ms),Global Work Size,Local Work Size,
93944399062256,Conv_sysarr,0,0,xilinx_u200_xdma_201830_2-0,0.028939,0.076988,1:1:1,1:1:1,


Top Memory Writes: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Writing Rate(MB/s),
0,0,0,42427.4,N/A,0.032,N/A,
34359738368,0,0,42439.6,N/A,20.736,N/A,
17179869184,0,0,42427.3,N/A,18.432,N/A,


Top Memory Reads: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Reading Rate(MB/s),
51539607552,0,0,115464,N/A,32.768,N/A,


Guidance Parameters
Parameter,Element,Value,
DEVICE_EXEC_TIME,xilinx_u200_xdma_201830_2-0,0.076988,
CU_CALLS,xilinx_u200_xdma_201830_2-0|Conv_sysarr_1,1,
NUM_MONITORS,xilinx_u200_xdma_201830_2-0|XCL_PERF_MON_ACCEL|1,1,
NUM_MONITORS,xilinx_u200_xdma_201830_2-0|XCL_PERF_MON_MEMORY|4,4,
NUM_MONITORS,xilinx_u200_xdma_201830_2-0|XCL_PERF_MON_STR|0,0,
MIGRATE_MEM,host,1,
MEMORY_USAGE,xilinx_u200_xdma_201830_2-0|DDR[0],1,
MEMORY_USAGE,xilinx_u200_xdma_201830_2-0|DDR[1],1,
MEMORY_USAGE,xilinx_u200_xdma_201830_2-0|DDR[2],1,
MEMORY_USAGE,xilinx_u200_xdma_201830_2-0|DDR[3],1,
MEMORY_USAGE,xilinx_u200_xdma_201830_2-0|PLRAM[0],0,
MEMORY_USAGE,xilinx_u200_xdma_201830_2-0|PLRAM[1],0,
MEMORY_USAGE,xilinx_u200_xdma_201830_2-0|PLRAM[2],0,
PLRAM_DEVICE,all,1,
HBM_DEVICE,all,0,
KDMA_DEVICE,all,1,
P2P_DEVICE,all,1,
P2P_HOST_TRANSFERS,host,0,
PORT_BIT_WIDTH,Conv_sysarr_1/m_axi_gmem0,128,
PORT_BIT_WIDTH,Conv_sysarr_1/m_axi_gmem1,128,
PORT_BIT_WIDTH,Conv_sysarr_1/m_axi_gmem2,128,
PORT_BIT_WIDTH,Conv_sysarr_1/m_axi_gmem3,512,
KERNEL_COUNT,Conv_sysarr,1,
OBJECTS_RELEASED,all,0,
TRACE_MEMORY,all,NA,
CU_CONTEXT_EN,all,0,
MAX_PARALLEL_KERNEL_ENQUEUES,Conv_sysarr,1,
COMMAND_QUEUE_OOO,93944398187136,1,
PLRAM_SIZE_BYTES,xilinx_u200_xdma_201830_2-0,131072,
KERNEL_BUFFER_INFO,Conv_sysarr|bias_in|DDR[0]|1,32,
KERNEL_BUFFER_INFO,Conv_sysarr|weight_in|DDR[1]|1,18432,
KERNEL_BUFFER_INFO,Conv_sysarr|data_in|DDR[2]|1,20736,
KERNEL_BUFFER_INFO,Conv_sysarr|conv_out|DDR[3]|1,32768,
TRACE_BUFFER_FULL,xilinx_u200_xdma_201830_2-0,0,
MEMORY_TYPE_BIT_WIDTH,xilinx_u200_xdma_201830_2-0|DDR,512,
MEMORY_TYPE_BIT_WIDTH,xilinx_u200_xdma_201830_2-0|HBM,256,
MEMORY_TYPE_BIT_WIDTH,xilinx_u200_xdma_201830_2-0|PLRAM,512,
XRT_INI_SETTING,aie_trace_buffer_size,8M,
XRT_INI_SETTING,continuous_trace,0,
XRT_INI_SETTING,continuous_trace_interval_ms,10,
XRT_INI_SETTING,data_transfer_trace,coarse,
XRT_INI_SETTING,launch_waveform,batch,
XRT_INI_SETTING,lop_trace,0,
XRT_INI_SETTING,power_profile,0,
XRT_INI_SETTING,profile,1,
XRT_INI_SETTING,stall_trace,off,
XRT_INI_SETTING,timeline_trace,1,
XRT_INI_SETTING,trace_buffer_size,128G,
XRT_INI_SETTING,verbosity,4,
BUFFER_RD_ACTIVE_TIME_MS,all,2.0596,
BUFFER_WR_ACTIVE_TIME_MS,all,30.2253,
BUFFER_TX_ACTIVE_TIME_MS,all,73038.9,
APPLICATION_RUN_TIME_MS,all,121101,
TOTAL_KERNEL_RUN_TIME_MS,all,73005.1,


