Timeline Trace
Generated on: 2022-04-19 02:24:51
Msec since Epoch: 1650302691009
Profiled application: host
Target platform: Xilinx
Tool version: 2020.2
XRT build version: 2.9.317
Build version branch: 2020.2_PU1
Build version hash: b0230e59e22351fb957dc46a6e68d7560e5f630c
Build version date: N/A 


Time_msec,Name,Event,Address_Port,Size,Latency_cycles,Start_cycles,End_cycles,Latency_usec,Start_msec,End_msec,
181.055935,clGetExtensionFunctionAddress|General,START,,,,,,,,,,,0,
181.087185,clGetExtensionFunctionAddressForPlatform|General,START,,,,,,,,,,,1,
181.104235,clGetExtensionFunctionAddressForPlatform|General,END,,,,,,,,,,,1,
181.111285,clGetExtensionFunctionAddress|General,END,,,,,,,,,,,0,
181.120305,clGetExtensionFunctionAddress|General,START,,,,,,,,,,,2,
181.127055,clGetExtensionFunctionAddressForPlatform|General,START,,,,,,,,,,,3,
181.134055,clGetExtensionFunctionAddressForPlatform|General,END,,,,,,,,,,,3,
181.140075,clGetExtensionFunctionAddress|General,END,,,,,,,,,,,2,
181.150685,clGetPlatformInfo|General,START,,,,,,,,,,,4,
181.158374,clGetPlatformInfo|General,END,,,,,,,,,,,4,
181.164514,clGetPlatformInfo|General,START,,,,,,,,,,,5,
181.170734,clGetPlatformInfo|General,END,,,,,,,,,,,5,
181.177274,clGetPlatformInfo|General,START,,,,,,,,,,,6,
181.183534,clGetPlatformInfo|General,END,,,,,,,,,,,6,
181.189374,clGetPlatformInfo|General,START,,,,,,,,,,,7,
181.195434,clGetPlatformInfo|General,END,,,,,,,,,,,7,
181.228014,clGetDeviceIDs|General,START,,,,,,,,,,,8,
181.309244,clGetDeviceIDs|General,END,,,,,,,,,,,8,
181.329044,clGetDeviceIDs|General,START,,,,,,,,,,,9,
181.341884,clGetDeviceIDs|General,END,,,,,,,,,,,9,
181.348494,clGetDeviceIDs|General,START,,,,,,,,,,,10,
181.355154,clGetDeviceIDs|General,END,,,,,,,,,,,10,
181.385103,clGetPlatformInfo|General,START,,,,,,,,,,,11,
181.392233,clGetPlatformInfo|General,END,,,,,,,,,,,11,
181.400913,clGetPlatformInfo|General,START,,,,,,,,,,,12,
181.407553,clGetPlatformInfo|General,END,,,,,,,,,,,12,
181.415273,clGetDeviceIDs|General,START,,,,,,,,,,,13,
181.421633,clGetDeviceIDs|General,END,,,,,,,,,,,13,
181.428793,clGetDeviceIDs|General,START,,,,,,,,,,,14,
181.435063,clGetDeviceIDs|General,END,,,,,,,,,,,14,
181.449073,clRetainDevice|General,START,,,,,,,,,,,15,
181.456633,clRetainDevice|General,END,,,,,,,,,,,15,
181.477793,clGetDeviceInfo|General,START,,,,,,,,,,,16,
181.570093,clGetDeviceInfo|General,END,,,,,,,,,,,16,
181.577793,clGetDeviceInfo|General,START,,,,,,,,,,,17,
181.585183,clGetDeviceInfo|General,END,,,,,,,,,,,17,
181.600792,clCreateContext|General,START,,,,,,,,,,,18,
181.640482,clCreateContext|General,END,,,,,,,,,,,18,
181.648182,clCreateCommandQueue|General,START,,,,,,,,,,,19,
181.660092,clCreateCommandQueue|General,END,,,,,,,,,,,19,
203.543262,clCreateProgramWithBinary|General,START,,,,,,,,,,,20,
42357.62316,clCreateProgramWithBinary|General,END,,,,,,,,,,,20,
42357.68214,clBuildProgram|General,START,,,,,,,,,,,21,
42357.69496,clBuildProgram|General,END,,,,,,,,,,,21,
42357.70303,clGetProgramInfo|General,START,,,,,,,,,,,22,
42357.71461,clGetProgramInfo|General,END,,,,,,,,,,,22,
42357.72182,clGetProgramInfo|General,START,,,,,,,,,,,23,
