Compute Units: Running Time and Stalls
Compute Unit, Running Time (us), Intra-Kernel Dataflow Stalls (%), External Memory Stalls (%), External Stream Stalls (%)
Conv_sysarr_1,64.690,0.371,1.907,0.000

Functions: Running Time and Stalls
Compute Unit, Function, Running Time (us), Intra-Kernel Dataflow Stalls (%), External Memory Stalls (%), External Stream Stalls (%)
Conv_sysarr_1,grp_dataflow_parent_loop_proc24_fu_1649,43.285,0.371,0.000,0.000
Conv_sysarr_1,grp_dataflow_parent_loop_proc24_fu_1649/dataflow_parent_loop_proc22_U0,43.285,0.371,0.000,0.000

Compute Units: Port Data Transfer
Compute Unit, Port, Write Time (us), Outstanding Write (%), Read Time (us), Outstanding Read (%)
Conv_sysarr_1,m_axi_gmem0,0.000,0.000,0.013,0.021
Conv_sysarr_1,m_axi_gmem1,0.000,0.000,1.987,3.072
Conv_sysarr_1,m_axi_gmem2,0.000,0.000,2.724,4.211
Conv_sysarr_1,m_axi_gmem3,7.295,11.277,4.258,6.581

