Profile Summary
Generated on: 2022-02-24 12:39:04
Msec since Epoch: 1645673944201
Profiled application: host
Target platform: 
Tool version: 2020.2
XRT build version: 2.9.317
Build version branch: 2020.2_PU1
Build version hash: b0230e59e22351fb957dc46a6e68d7560e5f630c
Build version date: N/A 
Target devices: xilinx_u200_xdma_201830_2-0
Flow mode: Hardware Emulation

OpenCL API Calls
API Name,Number Of Calls,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
clWaitForEvents,2,35004.4,0.847907,17502.2,35003.6,
clCreateProgramWithBinary,1,20643.4,20643.4,20643.4,20643.4,
clCreateKernel,1,14.445,14.445,14.445,14.445,
clFinish,2,12.0737,0.001934,6.03686,12.0718,
clSetKernelArg,41,0.712491,0.002084,0.0173778,0.411239,
clEnqueueTask,1,0.362928,0.362928,0.362928,0.362928,
clEnqueueWriteBuffer,3,0.118003,0.006743,0.0393343,0.102544,
clGetDeviceIDs,5,0.055555,0.001513,0.011111,0.046458,
clGetExtensionFunctionAddress,2,0.045928,0.012504,0.022964,0.033424,
clEnqueueReadBuffer,1,0.040016,0.040016,0.040016,0.040016,
clGetDeviceInfo,2,0.039866,0.002014,0.019933,0.037852,
clReleaseMemObject,12,0.027995,0.001413,0.00233292,0.005902,
clEnqueueMigrateMemObjects,1,0.026299,0.026299,0.026299,0.026299,
clCreateBuffer,4,0.020028,0.001653,0.005007,0.014468,
clGetPlatformInfo,6,0.018003,0.001503,0.0030005,0.004328,
clGetExtensionFunctionAddressForPlatform,2,0.016271,0.005611,0.0081355,0.01066,
clGetEventProfilingInfo,2,0.014137,0.004228,0.0070685,0.009909,
clRetainMemObject,8,0.013286,0.001443,0.00166075,0.002695,
clReleaseDevice,3,0.013085,0.003627,0.00436167,0.0056,
clCreateContext,1,0.011572,0.011572,0.011572,0.011572,
clReleaseEvent,2,0.011292,0.004048,0.005646,0.007244,
clRetainEvent,2,0.009769,0.004519,0.0048845,0.00525,
clGetProgramInfo,2,0.009729,0.004008,0.0048645,0.005721,
clRetainDevice,3,0.009599,0.001814,0.00319967,0.004108,
clBuildProgram,1,0.009268,0.009268,0.009268,0.009268,
clGetProgramBuildInfo,2,0.008867,0.004068,0.0044335,0.004799,
clReleaseProgram,1,0.004529,0.004529,0.004529,0.004529,
clReleaseCommandQueue,1,0.004458,0.004458,0.004458,0.004458,
clReleaseContext,1,0.004308,0.004308,0.004308,0.004308,
clCreateCommandQueue,1,0.003927,0.003927,0.003927,0.003927,
clReleaseKernel,1,0.003917,0.003917,0.003917,0.003917,


Kernel Execution (includes estimated device times)
Kernel,Number Of Enqueues,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
Conv_sysarr,1,0.076397,0.076397,0.076397,0.076397,


Compute Unit Utilization (includes estimated device times)
Device,Compute Unit,Kernel,Global Work Size,Local Work Size,Number Of Calls,Dataflow Execution,Max Overlapping Executions,Dataflow Acceleration,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),Clock Frequency (MHz),


Data Transfer: Host to Global Memory
Context:Number of Devices,Transfer Type,Number Of Buffer Transfers,Transfer Rate (MB/s),Average Bandwidth Utilization (%),Average Buffer Size (KB),Total Time (ms),Average Time (ms),
context0:1,READ,1,N/A,N/A,25.088,N/A,N/A,
context0:1,WRITE,3,N/A,N/A,11.616,N/A,N/A,


Data Transfer: Kernels to Global Memory
Device,Compute Unit/Port Name,Kernel Arguments,Memory Resources,Transfer Type,Number Of Transfers,Transfer Rate (MB/s),Average Bandwidth Utilization (%),Average Size (KB),Average Latency (ns),
xilinx_u200_xdma_201830_2-0,Conv_sysarr_1/m_axi_gmem0,bias_in,DDR[0],READ,1,3200,27.7778,0.032,10,


Top Data Transfer: Kernels to Global Memory
Device,Compute Unit,Number of Transfers,Average Bytes per Transfer,Transfer Efficiency (%),Total Data Transfer (MB),Total Write (MB),Total Read (MB),Total Transfer Rate (MB/s),
xilinx_u200_xdma_201830_2-0,Conv_sysarr_1,1,32,0.78125,3.2e-05,0,3.2e-05,3200,


Top Kernel Execution
Kernel Instance Address,Kernel,Context ID,Command Queue ID,Device,Start Time (ms),Duration (ms),Global Work Size,Local Work Size,
94355542257744,Conv_sysarr,0,0,xilinx_u200_xdma_201830_2-0,0.046672,0.076397,1:1:1,1:1:1,


Top Memory Writes: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Writing Rate(MB/s),
17179869184,0,0,20830.1,N/A,18.432,N/A,
34359738368,0,0,20835.1,N/A,16.384,N/A,
0,0,0,20830.1,N/A,0.032,N/A,


Top Memory Reads: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Reading Rate(MB/s),
51539607552,0,0,55846.4,N/A,25.088,N/A,


Guidance Parameters
Parameter,Element,Value,
DEVICE_EXEC_TIME,xilinx_u200_xdma_201830_2-0,0.076397,
CU_CALLS,xilinx_u200_xdma_201830_2-0|Conv_sysarr_1,2,
NUM_MONITORS,xilinx_u200_xdma_201830_2-0|XCL_PERF_MON_ACCEL|1,1,
NUM_MONITORS,xilinx_u200_xdma_201830_2-0|XCL_PERF_MON_MEMORY|1,1,
NUM_MONITORS,xilinx_u200_xdma_201830_2-0|XCL_PERF_MON_STR|0,0,
MIGRATE_MEM,host,1,
MEMORY_USAGE,xilinx_u200_xdma_201830_2-0|DDR[0],1,
MEMORY_USAGE,xilinx_u200_xdma_201830_2-0|DDR[1],1,
MEMORY_USAGE,xilinx_u200_xdma_201830_2-0|DDR[2],1,
MEMORY_USAGE,xilinx_u200_xdma_201830_2-0|DDR[3],1,
MEMORY_USAGE,xilinx_u200_xdma_201830_2-0|PLRAM[0],0,
MEMORY_USAGE,xilinx_u200_xdma_201830_2-0|PLRAM[1],0,
MEMORY_USAGE,xilinx_u200_xdma_201830_2-0|PLRAM[2],0,
PLRAM_DEVICE,all,1,
HBM_DEVICE,all,0,
KDMA_DEVICE,all,1,
P2P_DEVICE,all,1,
P2P_HOST_TRANSFERS,host,0,
PORT_BIT_WIDTH,Conv_sysarr_1/m_axi_gmem0,256,
PORT_BIT_WIDTH,Conv_sysarr_1/m_axi_gmem1,256,
PORT_BIT_WIDTH,Conv_sysarr_1/m_axi_gmem2,256,
PORT_BIT_WIDTH,Conv_sysarr_1/m_axi_gmem3,512,
KERNEL_COUNT,Conv_sysarr,1,
OBJECTS_RELEASED,all,0,
TRACE_MEMORY,all,NA,
CU_CONTEXT_EN,all,0,
MAX_PARALLEL_KERNEL_ENQUEUES,Conv_sysarr,1,
COMMAND_QUEUE_OOO,94355542211120,1,
PLRAM_SIZE_BYTES,xilinx_u200_xdma_201830_2-0,131072,
KERNEL_BUFFER_INFO,Conv_sysarr|bias_in|DDR[0]|1,32,
KERNEL_BUFFER_INFO,Conv_sysarr|weight_in|DDR[1]|1,18432,
KERNEL_BUFFER_INFO,Conv_sysarr|data_in|DDR[2]|1,16384,
KERNEL_BUFFER_INFO,Conv_sysarr|conv_out|DDR[3]|1,25088,
TRACE_BUFFER_FULL,xilinx_u200_xdma_201830_2-0,0,
MEMORY_TYPE_BIT_WIDTH,xilinx_u200_xdma_201830_2-0|DDR,512,
MEMORY_TYPE_BIT_WIDTH,xilinx_u200_xdma_201830_2-0|HBM,256,
MEMORY_TYPE_BIT_WIDTH,xilinx_u200_xdma_201830_2-0|PLRAM,512,
XRT_INI_SETTING,aie_trace_buffer_size,8M,
XRT_INI_SETTING,continuous_trace,0,
XRT_INI_SETTING,continuous_trace_interval_ms,10,
XRT_INI_SETTING,data_transfer_trace,fine,
XRT_INI_SETTING,launch_waveform,batch,
XRT_INI_SETTING,lop_trace,0,
XRT_INI_SETTING,power_profile,0,
XRT_INI_SETTING,profile,1,
XRT_INI_SETTING,stall_trace,all,
XRT_INI_SETTING,timeline_trace,1,
XRT_INI_SETTING,trace_buffer_size,512M,
XRT_INI_SETTING,verbosity,4,
BUFFER_RD_ACTIVE_TIME_MS,all,0.806618,
BUFFER_WR_ACTIVE_TIME_MS,all,11.9995,
BUFFER_TX_ACTIVE_TIME_MS,all,35017.1,
APPLICATION_RUN_TIME_MS,all,56815.5,
TOTAL_KERNEL_RUN_TIME_MS,all,35003.6,


