Timeline Trace
Generated on: 2022-02-24 12:39:04
Msec since Epoch: 1645673944201
Profiled application: host
Target platform: Xilinx
Tool version: 2020.2
XRT build version: 2.9.317
Build version branch: 2020.2_PU1
Build version hash: b0230e59e22351fb957dc46a6e68d7560e5f630c
Build version date: N/A 


Time_msec,Name,Event,Address_Port,Size,Latency_cycles,Start_cycles,End_cycles,Latency_usec,Start_msec,End_msec,
94.442984,clGetExtensionFunctionAddress|General,START,,,,,,,,,,,0,
94.46174,clGetExtensionFunctionAddressForPlatform|General,START,,,,,,,,,,,1,
94.4724,clGetExtensionFunctionAddressForPlatform|General,END,,,,,,,,,,,1,
94.476408,clGetExtensionFunctionAddress|General,END,,,,,,,,,,,0,
94.481437,clGetExtensionFunctionAddress|General,START,,,,,,,,,,,2,
94.485144,clGetExtensionFunctionAddressForPlatform|General,START,,,,,,,,,,,3,
94.490755,clGetExtensionFunctionAddressForPlatform|General,END,,,,,,,,,,,3,
94.493941,clGetExtensionFunctionAddress|General,END,,,,,,,,,,,2,
94.49892,clGetPlatformInfo|General,START,,,,,,,,,,,4,
94.503248,clGetPlatformInfo|General,END,,,,,,,,,,,4,
94.506495,clGetPlatformInfo|General,START,,,,,,,,,,,5,
94.510071,clGetPlatformInfo|General,END,,,,,,,,,,,5,
94.513568,clGetPlatformInfo|General,START,,,,,,,,,,,6,
94.516994,clGetPlatformInfo|General,END,,,,,,,,,,,6,
94.51998,clGetPlatformInfo|General,START,,,,,,,,,,,7,
94.523096,clGetPlatformInfo|General,END,,,,,,,,,,,7,
130.996978,clGetDeviceIDs|General,START,,,,,,,,,,,8,
131.043436,clGetDeviceIDs|General,END,,,,,,,,,,,8,
131.05078,clGetDeviceIDs|General,START,,,,,,,,,,,9,
131.054627,clGetDeviceIDs|General,END,,,,,,,,,,,9,
131.056441,clGetDeviceIDs|General,START,,,,,,,,,,,10,
131.058565,clGetDeviceIDs|General,END,,,,,,,,,,,10,
131.068914,clGetPlatformInfo|General,START,,,,,,,,,,,11,
131.070968,clGetPlatformInfo|General,END,,,,,,,,,,,11,
131.072591,clGetPlatformInfo|General,START,,,,,,,,,,,12,
131.074094,clGetPlatformInfo|General,END,,,,,,,,,,,12,
131.075958,clGetDeviceIDs|General,START,,,,,,,,,,,13,
131.077571,clGetDeviceIDs|General,END,,,,,,,,,,,13,
131.079364,clGetDeviceIDs|General,START,,,,,,,,,,,14,
131.080877,clGetDeviceIDs|General,END,,,,,,,,,,,14,
131.085906,clRetainDevice|General,START,,,,,,,,,,,15,
131.08772,clRetainDevice|General,END,,,,,,,,,,,15,
131.100113,clGetDeviceInfo|General,START,,,,,,,,,,,16,
131.137965,clGetDeviceInfo|General,END,,,,,,,,,,,16,
131.140189,clGetDeviceInfo|General,START,,,,,,,,,,,17,
131.142203,clGetDeviceInfo|General,END,,,,,,,,,,,17,
131.147583,clCreateContext|General,START,,,,,,,,,,,18,
131.159155,clCreateContext|General,END,,,,,,,,,,,18,
131.16147,clCreateCommandQueue|General,START,,,,,,,,,,,19,
131.165397,clCreateCommandQueue|General,END,,,,,,,,,,,19,
157.990095,clCreateProgramWithBinary|General,START,,,,,,,,,,,20,
20801.4385,clCreateProgramWithBinary|General,END,,,,,,,,,,,20,
20801.47534,clBuildProgram|General,START,,,,,,,,,,,21,
20801.48461,clBuildProgram|General,END,,,,,,,,,,,21,
20801.48951,clGetProgramInfo|General,START,,,,,,,,,,,22,
20801.49523,clGetProgramInfo|General,END,,,,,,,,,,,22,
20801.49904,clGetProgramInfo|General,START,,,,,,,,,,,23,
20801.50305,clGetProgramInfo|General,END,,,,,,,,,,,23,
20801.5081,clRetainDevice|General,START,,,,,,,,,,,24,
20801.51221,clRetainDevice|General,END,,,,,,,,,,,24,
20801.51684,clGetProgramBuildInfo|General,START,,,,,,,,,,,25,
20801.52164,clGetProgramBuildInfo|General,END,,,,,,,,,,,25,
20801.52642,clGetProgramBuildInfo|General,START,,,,,,,,,,,26,
20801.53048,clGetProgramBuildInfo|General,END,,,,,,,,,,,26,
20801.53586,clRetainDevice|General,START,,,,,,,,,,,27,
20801.53954,clRetainDevice|General,END,,,,,,,,,,,27,
20801.54744,clReleaseDevice|General,START,,,,,,,,,,,28,
20801.55304,clReleaseDevice|General,END,,,,,,,,,,,28,
20801.55687,clReleaseDevice|General,START,,,,,,,,,,,29,
20801.5605,clReleaseDevice|General,END,,,,,,,,,,,29,
20801.56501,clCreateKernel|General,START,,,,,,,,,,,30,
20816.01005,clCreateKernel|General,END,,,,,,,,,,,30,
