Profile Summary
Generated on: 2022-04-11 17:29:01
Msec since Epoch: 1649665741172
Profiled application: host
Target platform: 
Tool version: 2020.2
XRT build version: 2.9.317
Build version branch: 2020.2_PU1
Build version hash: b0230e59e22351fb957dc46a6e68d7560e5f630c
Build version date: N/A 
Target devices: xilinx_u200_xdma_201830_2-0
Flow mode: Hardware Emulation

OpenCL API Calls
API Name,Number Of Calls,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
clWaitForEvents,2,82007.4,1.0611,41003.7,82006.4,
clCreateProgramWithBinary,1,22402.6,22402.6,22402.6,22402.6,
clFinish,2,24.9459,0.00368,12.473,24.9423,
clCreateKernel,1,9.97638,9.97638,9.97638,9.97638,
clSetKernelArg,41,1.34434,0.00287,0.0327889,0.853286,
clEnqueueTask,1,0.775286,0.775286,0.775286,0.775286,
clEnqueueWriteBuffer,3,0.17393,0.01187,0.0579767,0.14823,
clGetDeviceIDs,5,0.112309,0.0064,0.0224618,0.07817,
clGetDeviceInfo,2,0.109429,0.00743,0.0547145,0.101999,
clGetExtensionFunctionAddress,2,0.081789,0.02001,0.0408945,0.061779,
clEnqueueReadBuffer,1,0.08133,0.08133,0.08133,0.08133,
clReleaseMemObject,12,0.05276,0.0029,0.00439667,0.00968,
clGetPlatformInfo,6,0.04013,0.00604,0.00668833,0.00772,
clCreateContext,1,0.03867,0.03867,0.03867,0.03867,
clEnqueueMigrateMemObjects,1,0.032949,0.032949,0.032949,0.032949,
clCreateBuffer,4,0.02617,0.00316,0.0065425,0.01421,
clRetainMemObject,8,0.02589,0.0029,0.00323625,0.00479,
clGetEventProfilingInfo,2,0.02583,0.00767,0.012915,0.01816,
clGetExtensionFunctionAddressForPlatform,2,0.023569,0.007,0.0117845,0.016569,
clReleaseEvent,2,0.01875,0.00696,0.009375,0.01179,
clReleaseDevice,3,0.0139,0.00314,0.00463333,0.00717,
clRetainDevice,3,0.01383,0.00318,0.00461,0.00721,
clCreateCommandQueue,1,0.01195,0.01195,0.01195,0.01195,
clRetainEvent,2,0.01188,0.0044,0.00594,0.00748,
clGetProgramInfo,2,0.00977,0.00338,0.004885,0.00639,
clReleaseProgram,1,0.009,0.009,0.009,0.009,
clReleaseCommandQueue,1,0.00819,0.00819,0.00819,0.00819,
clReleaseContext,1,0.00773,0.00773,0.00773,0.00773,
clGetProgramBuildInfo,2,0.00755,0.0034,0.003775,0.00415,
clReleaseKernel,1,0.00742,0.00742,0.00742,0.00742,
clBuildProgram,1,0.00647,0.00647,0.00647,0.00647,


Kernel Execution (includes estimated device times)
Kernel,Number Of Enqueues,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
Conv_sysarr,1,0.178552,0.178552,0.178552,0.178552,


Compute Unit Utilization (includes estimated device times)
Device,Compute Unit,Kernel,Global Work Size,Local Work Size,Number Of Calls,Dataflow Execution,Max Overlapping Executions,Dataflow Acceleration,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),Clock Frequency (MHz),


Data Transfer: Host to Global Memory
Context:Number of Devices,Transfer Type,Number Of Buffer Transfers,Transfer Rate (MB/s),Average Bandwidth Utilization (%),Average Buffer Size (KB),Total Time (ms),Average Time (ms),
context0:1,READ,1,N/A,N/A,32.768,N/A,N/A,
context0:1,WRITE,3,N/A,N/A,13.0667,N/A,N/A,


Data Transfer: Kernels to Global Memory
Device,Compute Unit/Port Name,Kernel Arguments,Memory Resources,Transfer Type,Number Of Transfers,Transfer Rate (MB/s),Average Bandwidth Utilization (%),Average Size (KB),Average Latency (ns),


Top Data Transfer: Kernels to Global Memory
Device,Compute Unit,Number of Transfers,Average Bytes per Transfer,Transfer Efficiency (%),Total Data Transfer (MB),Total Write (MB),Total Read (MB),Total Transfer Rate (MB/s),


Top Kernel Execution
Kernel Instance Address,Kernel,Context ID,Command Queue ID,Device,Start Time (ms),Duration (ms),Global Work Size,Local Work Size,
94367863632672,Conv_sysarr,0,0,xilinx_u200_xdma_201830_2-0,0.029841,0.178552,1:1:1,1:1:1,


Top Memory Writes: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Writing Rate(MB/s),
0,0,0,22651.5,N/A,0.032,N/A,
34359738368,0,0,22660.4,N/A,20.736,N/A,
17179869184,0,0,22651.4,N/A,18.432,N/A,


Top Memory Reads: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Reading Rate(MB/s),
51539607552,0,0,104684,N/A,32.768,N/A,


Guidance Parameters
Parameter,Element,Value,
DEVICE_EXEC_TIME,xilinx_u200_xdma_201830_2-0,0.178552,
CU_CALLS,xilinx_u200_xdma_201830_2-0|Conv_sysarr_1,1,
NUM_MONITORS,xilinx_u200_xdma_201830_2-0|XCL_PERF_MON_ACCEL|0,0,
NUM_MONITORS,xilinx_u200_xdma_201830_2-0|XCL_PERF_MON_MEMORY|0,0,
NUM_MONITORS,xilinx_u200_xdma_201830_2-0|XCL_PERF_MON_STR|0,0,
MIGRATE_MEM,host,1,
MEMORY_USAGE,xilinx_u200_xdma_201830_2-0|DDR[0],1,
MEMORY_USAGE,xilinx_u200_xdma_201830_2-0|DDR[1],1,
MEMORY_USAGE,xilinx_u200_xdma_201830_2-0|DDR[2],1,
MEMORY_USAGE,xilinx_u200_xdma_201830_2-0|DDR[3],1,
MEMORY_USAGE,xilinx_u200_xdma_201830_2-0|PLRAM[0],0,
MEMORY_USAGE,xilinx_u200_xdma_201830_2-0|PLRAM[1],0,
MEMORY_USAGE,xilinx_u200_xdma_201830_2-0|PLRAM[2],0,
PLRAM_DEVICE,all,1,
HBM_DEVICE,all,0,
KDMA_DEVICE,all,1,
P2P_DEVICE,all,1,
P2P_HOST_TRANSFERS,host,0,
PORT_BIT_WIDTH,Conv_sysarr_1/m_axi_gmem0,64,
PORT_BIT_WIDTH,Conv_sysarr_1/m_axi_gmem1,64,
PORT_BIT_WIDTH,Conv_sysarr_1/m_axi_gmem2,64,
PORT_BIT_WIDTH,Conv_sysarr_1/m_axi_gmem3,256,
KERNEL_COUNT,Conv_sysarr,1,
OBJECTS_RELEASED,all,0,
TRACE_MEMORY,all,NA,
CU_CONTEXT_EN,all,0,
MAX_PARALLEL_KERNEL_ENQUEUES,Conv_sysarr,1,
COMMAND_QUEUE_OOO,94367863657408,1,
PLRAM_SIZE_BYTES,xilinx_u200_xdma_201830_2-0,131072,
KERNEL_BUFFER_INFO,Conv_sysarr|bias_in|DDR[0]|1,32,
KERNEL_BUFFER_INFO,Conv_sysarr|weight_in|DDR[1]|1,18432,
KERNEL_BUFFER_INFO,Conv_sysarr|data_in|DDR[2]|1,20736,
KERNEL_BUFFER_INFO,Conv_sysarr|conv_out|DDR[3]|1,32768,
MEMORY_TYPE_BIT_WIDTH,xilinx_u200_xdma_201830_2-0|DDR,512,
MEMORY_TYPE_BIT_WIDTH,xilinx_u200_xdma_201830_2-0|HBM,256,
MEMORY_TYPE_BIT_WIDTH,xilinx_u200_xdma_201830_2-0|PLRAM,512,
XRT_INI_SETTING,aie_trace_buffer_size,8M,
XRT_INI_SETTING,continuous_trace,0,
XRT_INI_SETTING,continuous_trace_interval_ms,10,
XRT_INI_SETTING,data_transfer_trace,coarse,
XRT_INI_SETTING,launch_waveform,batch,
XRT_INI_SETTING,lop_trace,0,
XRT_INI_SETTING,power_profile,0,
XRT_INI_SETTING,profile,1,
XRT_INI_SETTING,stall_trace,off,
XRT_INI_SETTING,timeline_trace,1,
XRT_INI_SETTING,trace_buffer_size,128G,
XRT_INI_SETTING,verbosity,4,
BUFFER_RD_ACTIVE_TIME_MS,all,0.941076,
BUFFER_WR_ACTIVE_TIME_MS,all,24.5004,
BUFFER_TX_ACTIVE_TIME_MS,all,82033.2,
APPLICATION_RUN_TIME_MS,all,104685,
TOTAL_KERNEL_RUN_TIME_MS,all,82006.5,


