Timeline Trace
Generated on: 2022-02-22 15:45:00
Msec since Epoch: 1645512300706
Profiled application: host
Target platform: Xilinx
Tool version: 2020.2
XRT build version: 2.9.317
Build version branch: 2020.2_PU1
Build version hash: b0230e59e22351fb957dc46a6e68d7560e5f630c
Build version date: N/A 


Time_msec,Name,Event,Address_Port,Size,Latency_cycles,Start_cycles,End_cycles,Latency_usec,Start_msec,End_msec,
2.616114,clGetExtensionFunctionAddress|General,START,,,,,,,,,,,0,
2.632405,clGetExtensionFunctionAddressForPlatform|General,START,,,,,,,,,,,1,
2.642995,clGetExtensionFunctionAddressForPlatform|General,END,,,,,,,,,,,1,
2.646963,clGetExtensionFunctionAddress|General,END,,,,,,,,,,,0,
2.651381,clGetExtensionFunctionAddress|General,START,,,,,,,,,,,2,
2.654938,clGetExtensionFunctionAddressForPlatform|General,START,,,,,,,,,,,3,
2.658615,clGetExtensionFunctionAddressForPlatform|General,END,,,,,,,,,,,3,
2.66156,clGetExtensionFunctionAddress|General,END,,,,,,,,,,,2,
2.665268,clGetPlatformInfo|General,START,,,,,,,,,,,4,
2.669445,clGetPlatformInfo|General,END,,,,,,,,,,,4,
2.672511,clGetPlatformInfo|General,START,,,,,,,,,,,5,
2.675858,clGetPlatformInfo|General,END,,,,,,,,,,,5,
2.679154,clGetPlatformInfo|General,START,,,,,,,,,,,6,
2.68234,clGetPlatformInfo|General,END,,,,,,,,,,,6,
2.685296,clGetPlatformInfo|General,START,,,,,,,,,,,7,
2.688322,clGetPlatformInfo|General,END,,,,,,,,,,,7,
36.823736,clGetDeviceIDs|General,START,,,,,,,,,,,8,
36.886506,clGetDeviceIDs|General,END,,,,,,,,,,,8,
36.897336,clGetDeviceIDs|General,START,,,,,,,,,,,9,
36.903819,clGetDeviceIDs|General,END,,,,,,,,,,,9,
36.906945,clGetDeviceIDs|General,START,,,,,,,,,,,10,
36.910061,clGetDeviceIDs|General,END,,,,,,,,,,,10,
36.927724,clGetPlatformInfo|General,START,,,,,,,,,,,11,
36.931532,clGetPlatformInfo|General,END,,,,,,,,,,,11,
36.934397,clGetPlatformInfo|General,START,,,,,,,,,,,12,
36.937062,clGetPlatformInfo|General,END,,,,,,,,,,,12,
36.940298,clGetDeviceIDs|General,START,,,,,,,,,,,13,
36.943164,clGetDeviceIDs|General,END,,,,,,,,,,,13,
36.94639,clGetDeviceIDs|General,START,,,,,,,,,,,14,
36.949155,clGetDeviceIDs|General,END,,,,,,,,,,,14,
36.953063,clRetainDevice|General,START,,,,,,,,,,,15,
