Compute Units: Running Time and Stalls
Compute Unit, Running Time (us), Intra-Kernel Dataflow Stalls (%), External Memory Stalls (%), External Stream Stalls (%)
Conv_sysarr_1,288.404,1.332,0.205,0.000

Functions: Running Time and Stalls
Compute Unit, Function, Running Time (us), Intra-Kernel Dataflow Stalls (%), External Memory Stalls (%), External Stream Stalls (%)
Conv_sysarr_1,grp_dataflow_parent_loop_proc27_fu_793,284.567,1.332,0.000,0.000
Conv_sysarr_1,grp_dataflow_parent_loop_proc27_fu_793/dataflow_parent_loop_proc25_U0,284.567,1.332,0.000,0.000

Compute Units: Port Data Transfer
Compute Unit, Port, Write Time (us), Outstanding Write (%), Read Time (us), Outstanding Read (%)
Conv_sysarr_1,m_axi_gmem0,0.000,0.000,0.023,0.008
Conv_sysarr_1,m_axi_gmem1,0.000,0.000,7.702,2.670
Conv_sysarr_1,m_axi_gmem2,0.000,0.000,8.312,2.882
Conv_sysarr_1,m_axi_gmem3,11.766,4.080,8.295,2.876

