Timeline Trace
Generated on: 2022-03-10 04:35:04
Msec since Epoch: 1646854504171
Profiled application: host
Target platform: Xilinx
Tool version: 2020.2
XRT build version: 2.9.317
Build version branch: 2020.2_PU1
Build version hash: b0230e59e22351fb957dc46a6e68d7560e5f630c
Build version date: N/A 


Time_msec,Name,Event,Address_Port,Size,Latency_cycles,Start_cycles,End_cycles,Latency_usec,Start_msec,End_msec,
45.558407,clGetExtensionFunctionAddress|General,START,,,,,,,,,,,0,
45.571873,clGetExtensionFunctionAddressForPlatform|General,START,,,,,,,,,,,1,
45.579066,clGetExtensionFunctionAddressForPlatform|General,END,,,,,,,,,,,1,
45.582303,clGetExtensionFunctionAddress|General,END,,,,,,,,,,,0,
45.585819,clGetExtensionFunctionAddress|General,START,,,,,,,,,,,2,
45.588685,clGetExtensionFunctionAddressForPlatform|General,START,,,,,,,,,,,3,
45.59163,clGetExtensionFunctionAddressForPlatform|General,END,,,,,,,,,,,3,
45.594195,clGetExtensionFunctionAddress|General,END,,,,,,,,,,,2,
45.597762,clGetPlatformInfo|General,START,,,,,,,,,,,4,
45.601038,clGetPlatformInfo|General,END,,,,,,,,,,,4,
45.603663,clGetPlatformInfo|General,START,,,,,,,,,,,5,
45.606428,clGetPlatformInfo|General,END,,,,,,,,,,,5,
45.609153,clGetPlatformInfo|General,START,,,,,,,,,,,6,
45.611888,clGetPlatformInfo|General,END,,,,,,,,,,,6,
45.614413,clGetPlatformInfo|General,START,,,,,,,,,,,7,
45.617018,clGetPlatformInfo|General,END,,,,,,,,,,,7,
65.809431,clGetDeviceIDs|General,START,,,,,,,,,,,8,
65.852623,clGetDeviceIDs|General,END,,,,,,,,,,,8,
65.860137,clGetDeviceIDs|General,START,,,,,,,,,,,9,
65.865868,clGetDeviceIDs|General,END,,,,,,,,,,,9,
65.868663,clGetDeviceIDs|General,START,,,,,,,,,,,10,
65.871458,clGetDeviceIDs|General,END,,,,,,,,,,,10,
65.885455,clGetPlatformInfo|General,START,,,,,,,,,,,11,
65.888541,clGetPlatformInfo|General,END,,,,,,,,,,,11,
65.891266,clGetPlatformInfo|General,START,,,,,,,,,,,12,
65.893931,clGetPlatformInfo|General,END,,,,,,,,,,,12,
65.897087,clGetDeviceIDs|General,START,,,,,,,,,,,13,
65.899782,clGetDeviceIDs|General,END,,,,,,,,,,,13,
65.902848,clGetDeviceIDs|General,START,,,,,,,,,,,14,
65.905413,clGetDeviceIDs|General,END,,,,,,,,,,,14,
65.911013,clRetainDevice|General,START,,,,,,,,,,,15,
65.914029,clRetainDevice|General,END,,,,,,,,,,,15,
65.924929,clGetDeviceInfo|General,START,,,,,,,,,,,16,
65.964314,clGetDeviceInfo|General,END,,,,,,,,,,,16,
65.967851,clGetDeviceInfo|General,START,,,,,,,,,,,17,
65.971087,clGetDeviceInfo|General,END,,,,,,,,,,,17,
65.978841,clCreateContext|General,START,,,,,,,,,,,18,
65.994922,clCreateContext|General,END,,,,,,,,,,,18,
65.998418,clCreateCommandQueue|General,START,,,,,,,,,,,19,
66.003678,clCreateCommandQueue|General,END,,,,,,,,,,,19,
318.684957,clCreateProgramWithBinary|General,START,,,,,,,,,,,20,
30765.50217,clCreateProgramWithBinary|General,END,,,,,,,,,,,20,
30765.53804,clBuildProgram|General,START,,,,,,,,,,,21,
30765.54612,clBuildProgram|General,END,,,,,,,,,,,21,
30765.54984,clGetProgramInfo|General,START,,,,,,,,,,,22,
30765.55407,clGetProgramInfo|General,END,,,,,,,,,,,22,
30765.55699,clGetProgramInfo|General,START,,,,,,,,,,,23,
30765.5601,clGetProgramInfo|General,END,,,,,,,,,,,23,
30765.5646,clRetainDevice|General,START,,,,,,,,,,,24,
30765.56773,clRetainDevice|General,END,,,,,,,,,,,24,
30765.57118,clGetProgramBuildInfo|General,START,,,,,,,,,,,25,
30765.57492,clGetProgramBuildInfo|General,END,,,,,,,,,,,25,
30765.57855,clGetProgramBuildInfo|General,START,,,,,,,,,,,26,
30765.58169,clGetProgramBuildInfo|General,END,,,,,,,,,,,26,
30765.58568,clRetainDevice|General,START,,,,,,,,,,,27,
30765.58849,clRetainDevice|General,END,,,,,,,,,,,27,
30765.59557,clReleaseDevice|General,START,,,,,,,,,,,28,
30765.59869,clReleaseDevice|General,END,,,,,,,,,,,28,
30765.60158,clReleaseDevice|General,START,,,,,,,,,,,29,
30765.60444,clReleaseDevice|General,END,,,,,,,,,,,29,
30765.6076,clCreateKernel|General,START,,,,,,,,,,,30,
30770.09433,clCreateKernel|General,END,,,,,,,,,,,30,
30818.72623,clCreateBuffer|General,START,,,,,,,,,,,31,
30818.74354,clCreateBuffer|General,END,,,,,,,,,,,31,
30818.74712,clCreateBuffer|General,START,,,,,,,,,,,32,
30818.7508,clCreateBuffer|General,END,,,,,,,,,,,32,
30818.7536,clCreateBuffer|General,START,,,,,,,,,,,33,
30818.75676,clCreateBuffer|General,END,,,,,,,,,,,33,
30818.75941,clCreateBuffer|General,START,,,,,,,,,,,34,
30818.76224,clCreateBuffer|General,END,,,,,,,,,,,34,
30818.76515,clSetKernelArg|General,START,,,,,,,,,,,35,
30822.66281,clSetKernelArg|General,END,,,,,,,,,,,35,
30822.67108,clSetKernelArg|General,START,,,,,,,,,,,36,
30824.43668,clSetKernelArg|General,END,,,,,,,,,,,36,
30824.44464,clSetKernelArg|General,START,,,,,,,,,,,37,
30824.6391,clSetKernelArg|General,END,,,,,,,,,,,37,
30824.64694,clSetKernelArg|General,START,,,,,,,,,,,38,
