Profile Summary
Generated on: 2022-02-22 18:10:38
Msec since Epoch: 1645521038701
Profiled application: host
Target platform: 
Tool version: 2020.2
XRT build version: 2.9.317
Build version branch: 2020.2_PU1
Build version hash: b0230e59e22351fb957dc46a6e68d7560e5f630c
Build version date: N/A 
Target devices: xilinx_u200_xdma_201830_2-0
Flow mode: System Run

OpenCL API Calls
API Name,Number Of Calls,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
clCreateProgramWithBinary,1,5502.71,5502.71,5502.71,5502.71,
clWaitForEvents,2,402.938,3.05559,201.469,399.883,
clGetDeviceInfo,2,80.3274,0.006592,40.1637,80.3208,
clCreateContext,1,7.45694,7.45694,7.45694,7.45694,
clCreateKernel,1,7.24738,7.24738,7.24738,7.24738,
clSetKernelArg,41,0.827999,0.001412,0.0201951,0.515898,
clFinish,2,0.598957,0.001984,0.299479,0.596973,
clEnqueueWriteBuffer,3,0.12733,0.006933,0.0424433,0.11111,
clGetDeviceIDs,5,0.080732,0.003356,0.0161464,0.060986,
clEnqueueTask,1,0.071075,0.071075,0.071075,0.071075,
clGetExtensionFunctionAddress,2,0.046288,0.01043,0.023144,0.035858,
clCreateBuffer,4,0.044415,0.001704,0.0111037,0.038352,
clEnqueueReadBuffer,1,0.037381,0.037381,0.037381,0.037381,
clEnqueueMigrateMemObjects,1,0.035057,0.035057,0.035057,0.035057,
clReleaseMemObject,12,0.030679,0.001422,0.00255658,0.007835,
clGetPlatformInfo,6,0.023664,0.003206,0.003944,0.005099,
clRetainMemObject,8,0.013585,0.001443,0.00169813,0.002886,
clGetExtensionFunctionAddressForPlatform,2,0.013525,0.003747,0.0067625,0.009778,
clGetEventProfilingInfo,2,0.013195,0.004308,0.0065975,0.008887,
clCreateCommandQueue,1,0.013095,0.013095,0.013095,0.013095,
clReleaseEvent,2,0.011192,0.004068,0.005596,0.007124,
clReleaseDevice,3,0.009908,0.002805,0.00330267,0.004007,
clRetainDevice,3,0.009578,0.002795,0.00319267,0.003717,
clRetainEvent,2,0.008426,0.003988,0.004213,0.004438,
clGetProgramBuildInfo,2,0.007024,0.002986,0.003512,0.004038,
clGetProgramInfo,2,0.006733,0.003096,0.0033665,0.003637,
clBuildProgram,1,0.006212,0.006212,0.006212,0.006212,
clReleaseCommandQueue,1,0.004789,0.004789,0.004789,0.004789,
clReleaseKernel,1,0.004549,0.004549,0.004549,0.004549,
clReleaseProgram,1,0.004518,0.004518,0.004518,0.004518,
clReleaseContext,1,0.004298,0.004298,0.004298,0.004298,


Kernel Execution
Kernel,Number Of Enqueues,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
Conv_sysarr,1,399.845,399.845,399.845,399.845,


Compute Unit Utilization
Device,Compute Unit,Kernel,Global Work Size,Local Work Size,Number Of Calls,Dataflow Execution,Max Overlapping Executions,Dataflow Acceleration,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),Clock Frequency (MHz),
xilinx_u200_xdma_201830_2-0,Conv_sysarr_1,Conv_sysarr,1:1:1,1:1:1,1,Yes,2,1.929582x,429.091,398.888,827.966,398.888,100,


Data Transfer: Host to Global Memory
Context:Number of Devices,Transfer Type,Number Of Buffer Transfers,Transfer Rate (MB/s),Average Bandwidth Utilization (%),Average Buffer Size (KB),Total Time (ms),Average Time (ms),
context0:1,READ,1,1161.568028,12.099667,3211.26,2.764594,2.764594,
context0:1,WRITE,3,1603.399340,16.702076,483.755,0.905117,0.301706,


Data Transfer: Kernels to Global Memory
Device,Compute Unit/Port Name,Kernel Arguments,Memory Resources,Transfer Type,Number Of Transfers,Transfer Rate (MB/s),Average Bandwidth Utilization (%),Average Size (KB),Average Latency (ns),
xilinx_u200_xdma_201830_2-0,Conv_sysarr_1/m_axi_gmem2,data_in,DDR[2],READ,34544,594.028,5.15649,0.242838,426.29,


Data Transfer: DMA
Device,Transfer Type,Number Of Transfers,Transfer Rate (MB/s),Total Data Transfer (MB),Total Time (ms),Average Size (KB),Average Latency (ns),
xilinx_u200_xdma_201830_2-0,READ,784,N/A,3.21126,N/A,4.096,N/A,
xilinx_u200_xdma_201830_2-0,WRITE,2835,N/A,1.45126,N/A,0.51191,N/A,


Data Transfer: DMA Bypass
Device,Transfer Type,Number Of Transfers,Transfer Rate (MB/s),Total Data Transfer (MB),Total Time (ms),Average Size (KB),Average Latency (ns),


Data Transfer: Global Memory to Global Memory
Device,Transfer Type,Number Of Transfers,Transfer Rate (MB/s),Total Data Transfer (MB),Total Time (ms),Average Size (KB),Average Latency (ns),


Top Data Transfer: Kernels to Global Memory
Device,Compute Unit,Number of Transfers,Average Bytes per Transfer,Transfer Efficiency (%),Total Data Transfer (MB),Total Write (MB),Total Read (MB),Total Transfer Rate (MB/s),
xilinx_u200_xdma_201830_2-0,Conv_sysarr_1,34544,242.838,5.92867,8.38861,0,8.38861,594.028,


Top Kernel Execution
Kernel Instance Address,Kernel,Context ID,Command Queue ID,Device,Start Time (ms),Duration (ms),Global Work Size,Local Work Size,
93989836484432,Conv_sysarr,0,0,xilinx_u200_xdma_201830_2-0,12268.5,399.845,1:1:1,1:1:1,


Top Memory Writes: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Writing Rate(MB/s),
412316860416,0,0,12267.9,0.430446,861.184,2000.678366,
343597383680,0,0,12267.8,0.371715,589.824,1586.764053,
274877906944,0,0,12267.8,0.102956,0.256,2.486499,


Top Memory Reads: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Reading Rate(MB/s),
481036337152,0,0,12668.6,2.764594,3211.26,1161.568028,


Guidance Parameters
Parameter,Element,Value,
DEVICE_EXEC_TIME,xilinx_u200_xdma_201830_2-0,399.844713,
CU_CALLS,xilinx_u200_xdma_201830_2-0|Conv_sysarr_1,1,
NUM_MONITORS,xilinx_u200_xdma_201830_2-0|XCL_PERF_MON_ACCEL|1,1,
NUM_MONITORS,xilinx_u200_xdma_201830_2-0|XCL_PERF_MON_MEMORY|1,4,
NUM_MONITORS,xilinx_u200_xdma_201830_2-0|XCL_PERF_MON_STR|0,0,
MIGRATE_MEM,host,1,
MEMORY_USAGE,xilinx_u200_xdma_201830_2-0|DDR[0],1,
MEMORY_USAGE,xilinx_u200_xdma_201830_2-0|DDR[1],1,
MEMORY_USAGE,xilinx_u200_xdma_201830_2-0|DDR[2],1,
MEMORY_USAGE,xilinx_u200_xdma_201830_2-0|DDR[3],1,
MEMORY_USAGE,xilinx_u200_xdma_201830_2-0|PLRAM[0],0,
MEMORY_USAGE,xilinx_u200_xdma_201830_2-0|PLRAM[1],0,
MEMORY_USAGE,xilinx_u200_xdma_201830_2-0|PLRAM[2],0,
PLRAM_DEVICE,all,1,
HBM_DEVICE,all,0,
KDMA_DEVICE,all,1,
P2P_DEVICE,all,1,
P2P_HOST_TRANSFERS,host,0,
PORT_BIT_WIDTH,Conv_sysarr_1/m_axi_gmem0,128,
PORT_BIT_WIDTH,Conv_sysarr_1/m_axi_gmem1,128,
PORT_BIT_WIDTH,Conv_sysarr_1/m_axi_gmem2,128,
PORT_BIT_WIDTH,Conv_sysarr_1/m_axi_gmem3,512,
KERNEL_COUNT,Conv_sysarr,1,
OBJECTS_RELEASED,all,0,
TRACE_MEMORY,all,FIFO,
CU_CONTEXT_EN,all,0,
MAX_PARALLEL_KERNEL_ENQUEUES,Conv_sysarr,1,
COMMAND_QUEUE_OOO,93989836603616,1,
PLRAM_SIZE_BYTES,xilinx_u200_xdma_201830_2-0,131072,
KERNEL_BUFFER_INFO,Conv_sysarr|bias_in|DDR[0]|1,256,
KERNEL_BUFFER_INFO,Conv_sysarr|weight_in|DDR[1]|1,589824,
KERNEL_BUFFER_INFO,Conv_sysarr|data_in|DDR[2]|1,861184,
KERNEL_BUFFER_INFO,Conv_sysarr|conv_out|DDR[3]|1,3211264,
TRACE_BUFFER_FULL,xilinx_u200_xdma_201830_2-0,1,
MEMORY_TYPE_BIT_WIDTH,xilinx_u200_xdma_201830_2-0|DDR,512,
MEMORY_TYPE_BIT_WIDTH,xilinx_u200_xdma_201830_2-0|HBM,256,
MEMORY_TYPE_BIT_WIDTH,xilinx_u200_xdma_201830_2-0|PLRAM,512,
XRT_INI_SETTING,aie_trace_buffer_size,8M,
XRT_INI_SETTING,continuous_trace,0,
XRT_INI_SETTING,continuous_trace_interval_ms,10,
XRT_INI_SETTING,data_transfer_trace,fine,
XRT_INI_SETTING,launch_waveform,batch,
XRT_INI_SETTING,lop_trace,0,
XRT_INI_SETTING,power_profile,0,
XRT_INI_SETTING,profile,1,
XRT_INI_SETTING,stall_trace,off,
XRT_INI_SETTING,timeline_trace,1,
XRT_INI_SETTING,trace_buffer_size,100512M,
XRT_INI_SETTING,verbosity,4,
BUFFER_RD_ACTIVE_TIME_MS,all,2.76459,
BUFFER_WR_ACTIVE_TIME_MS,all,0.55388,
BUFFER_TX_ACTIVE_TIME_MS,all,403.587,
APPLICATION_RUN_TIME_MS,all,12717.1,
TOTAL_KERNEL_RUN_TIME_MS,all,399.845,


