Timeline Trace
Generated on: 2022-02-22 18:10:38
Msec since Epoch: 1645521038701
Profiled application: host
Target platform: Xilinx
Tool version: 2020.2
XRT build version: 2.9.317
Build version branch: 2020.2_PU1
Build version hash: b0230e59e22351fb957dc46a6e68d7560e5f630c
Build version date: N/A 


Time_msec,Name,Event,Address_Port,Size,Latency_cycles,Start_cycles,End_cycles,Latency_usec,Start_msec,End_msec,
2.672149,clGetExtensionFunctionAddress|General,START,,,,,,,,,,,0,
2.694291,clGetExtensionFunctionAddressForPlatform|General,START,,,,,,,,,,,1,
2.704069,clGetExtensionFunctionAddressForPlatform|General,END,,,,,,,,,,,1,
2.708007,clGetExtensionFunctionAddress|General,END,,,,,,,,,,,0,
2.712625,clGetExtensionFunctionAddress|General,START,,,,,,,,,,,2,
2.716262,clGetExtensionFunctionAddressForPlatform|General,START,,,,,,,,,,,3,
2.720009,clGetExtensionFunctionAddressForPlatform|General,END,,,,,,,,,,,3,
2.723055,clGetExtensionFunctionAddress|General,END,,,,,,,,,,,2,
2.726722,clGetPlatformInfo|General,START,,,,,,,,,,,4,
2.73081,clGetPlatformInfo|General,END,,,,,,,,,,,4,
2.734066,clGetPlatformInfo|General,START,,,,,,,,,,,5,
2.737593,clGetPlatformInfo|General,END,,,,,,,,,,,5,
2.740979,clGetPlatformInfo|General,START,,,,,,,,,,,6,
2.744185,clGetPlatformInfo|General,END,,,,,,,,,,,6,
2.747111,clGetPlatformInfo|General,START,,,,,,,,,,,7,
2.75221,clGetPlatformInfo|General,END,,,,,,,,,,,7,
22.915932,clGetDeviceIDs|General,START,,,,,,,,,,,8,
22.976918,clGetDeviceIDs|General,END,,,,,,,,,,,8,
22.98835,clGetDeviceIDs|General,START,,,,,,,,,,,9,
22.997176,clGetDeviceIDs|General,END,,,,,,,,,,,9,
23.001244,clGetDeviceIDs|General,START,,,,,,,,,,,10,
23.005021,clGetDeviceIDs|General,END,,,,,,,,,,,10,
23.020681,clGetPlatformInfo|General,START,,,,,,,,,,,11,
23.025019,clGetPlatformInfo|General,END,,,,,,,,,,,11,
23.028596,clGetPlatformInfo|General,START,,,,,,,,,,,12,
23.032002,clGetPlatformInfo|General,END,,,,,,,,,,,12,
23.036311,clGetDeviceIDs|General,START,,,,,,,,,,,13,
23.040098,clGetDeviceIDs|General,END,,,,,,,,,,,13,
23.044206,clGetDeviceIDs|General,START,,,,,,,,,,,14,
23.047562,clGetDeviceIDs|General,END,,,,,,,,,,,14,
23.052752,clRetainDevice|General,START,,,,,,,,,,,15,
23.056469,clRetainDevice|General,END,,,,,,,,,,,15,
23.071818,clGetDeviceInfo|General,START,,,,,,,,,,,16,
103.392618,clGetDeviceInfo|General,END,,,,,,,,,,,16,
103.407777,clGetDeviceInfo|General,START,,,,,,,,,,,17,
103.414369,clGetDeviceInfo|General,END,,,,,,,,,,,17,
103.433816,clCreateContext|General,START,,,,,,,,,,,18,
110.890752,clCreateContext|General,END,,,,,,,,,,,18,
110.899178,clCreateCommandQueue|General,START,,,,,,,,,,,19,
110.912273,clCreateCommandQueue|General,END,,,,,,,,,,,19,
146.267703,clCreateProgramWithBinary|General,START,,,,,,,,,,,20,
5648.979697,clCreateProgramWithBinary|General,END,,,,,,,,,,,20,
5648.999454,clBuildProgram|General,START,,,,,,,,,,,21,
5649.005666,clBuildProgram|General,END,,,,,,,,,,,21,
5649.009534,clGetProgramInfo|General,START,,,,,,,,,,,22,
5649.013171,clGetProgramInfo|General,END,,,,,,,,,,,22,
5649.016086,clGetProgramInfo|General,START,,,,,,,,,,,23,
5649.019182,clGetProgramInfo|General,END,,,,,,,,,,,23,
5649.023079,clRetainDevice|General,START,,,,,,,,,,,24,
5649.026145,clRetainDevice|General,END,,,,,,,,,,,24,
5649.029822,clGetProgramBuildInfo|General,START,,,,,,,,,,,25,
5649.03386,clGetProgramBuildInfo|General,END,,,,,,,,,,,25,
5649.037697,clGetProgramBuildInfo|General,START,,,,,,,,,,,26,
5649.040683,clGetProgramBuildInfo|General,END,,,,,,,,,,,26,
5649.04448,clRetainDevice|General,START,,,,,,,,,,,27,
5649.047275,clRetainDevice|General,END,,,,,,,,,,,27,
5649.052144,clReleaseDevice|General,START,,,,,,,,,,,28,
5649.05524,clReleaseDevice|General,END,,,,,,,,,,,28,
5649.058166,clReleaseDevice|General,START,,,,,,,,,,,29,
5649.060971,clReleaseDevice|General,END,,,,,,,,,,,29,
5649.064047,clCreateKernel|General,START,,,,,,,,,,,30,
5656.311426,clCreateKernel|General,END,,,,,,,,,,,30,
12266.70094,clCreateBuffer|General,START,,,,,,,,,,,31,
12266.7393,clCreateBuffer|General,END,,,,,,,,,,,31,
12266.74233,clCreateBuffer|General,START,,,,,,,,,,,32,
12266.74471,clCreateBuffer|General,END,,,,,,,,,,,32,
12266.74638,clCreateBuffer|General,START,,,,,,,,,,,33,
12266.74836,clCreateBuffer|General,END,,,,,,,,,,,33,
12266.74983,clCreateBuffer|General,START,,,,,,,,,,,34,
12266.75153,clCreateBuffer|General,END,,,,,,,,,,,34,
12266.75374,clSetKernelArg|General,START,,,,,,,,,,,35,
12266.80051,clSetKernelArg|General,END,,,,,,,,,,,35,
12266.80274,clSetKernelArg|General,START,,,,,,,,,,,36,
12266.86027,clSetKernelArg|General,END,,,,,,,,,,,36,
12266.86262,clSetKernelArg|General,START,,,,,,,,,,,37,
12266.98419,clSetKernelArg|General,END,,,,,,,,,,,37,
12266.98669,clSetKernelArg|General,START,,,,,,,,,,,38,
12267.50258,clSetKernelArg|General,END,,,,,,,,,,,38,
12267.50725,clRetainMemObject|General,START,,,,,,,,,,,39,
12267.51014,clRetainMemObject|General,END,,,,,,,,,,,39,
12267.51185,clRetainMemObject|General,START,,,,,,,,,,,40,
12267.51354,clRetainMemObject|General,END,,,,,,,,,,,40,
12267.51523,clRetainMemObject|General,START,,,,,,,,,,,41,
12267.51671,clRetainMemObject|General,END,,,,,,,,,,,41,
12267.51815,clRetainMemObject|General,START,,,,,,,,,,,42,
12267.5196,clRetainMemObject|General,END,,,,,,,,,,,42,
12267.5218,clRetainMemObject|General,START,,,,,,,,,,,43,
12267.5235,clRetainMemObject|General,END,,,,,,,,,,,43,
12267.52496,clRetainMemObject|General,START,,,,,,,,,,,44,
12267.52643,clRetainMemObject|General,END,,,,,,,,,,,44,
12267.52786,clRetainMemObject|General,START,,,,,,,,,,,45,
12267.52931,clRetainMemObject|General,END,,,,,,,,,,,45,
12267.53071,clRetainMemObject|General,START,,,,,,,,,,,46,
12267.53218,clRetainMemObject|General,END,,,,,,,,,,,46,
12267.53578,clEnqueueMigrateMemObjects|93989836603632,START,,,,,,,,,,,47,
12267.57083,clEnqueueMigrateMemObjects|93989836603632,END,,,,,,,,,,,47,
