Timeline Trace
Generated on: 2022-02-21 16:56:15
Msec since Epoch: 1645430175708
Profiled application: host
Target platform: Xilinx
Tool version: 2020.2
XRT build version: 2.9.317
Build version branch: 2020.2_PU1
Build version hash: b0230e59e22351fb957dc46a6e68d7560e5f630c
Build version date: N/A 


Time_msec,Name,Event,Address_Port,Size,Latency_cycles,Start_cycles,End_cycles,Latency_usec,Start_msec,End_msec,
18.339778,clGetExtensionFunctionAddress|General,START,,,,,,,,,,,0,
18.361429,clGetExtensionFunctionAddressForPlatform|General,START,,,,,,,,,,,1,
18.373091,clGetExtensionFunctionAddressForPlatform|General,END,,,,,,,,,,,1,
18.37745,clGetExtensionFunctionAddress|General,END,,,,,,,,,,,0,
18.382589,clGetExtensionFunctionAddress|General,START,,,,,,,,,,,2,
18.386367,clGetExtensionFunctionAddressForPlatform|General,START,,,,,,,,,,,3,
18.390134,clGetExtensionFunctionAddressForPlatform|General,END,,,,,,,,,,,3,
18.39346,clGetExtensionFunctionAddress|General,END,,,,,,,,,,,2,
18.397688,clGetPlatformInfo|General,START,,,,,,,,,,,4,
18.402167,clGetPlatformInfo|General,END,,,,,,,,,,,4,
18.407286,clGetPlatformInfo|General,START,,,,,,,,,,,5,
18.410963,clGetPlatformInfo|General,END,,,,,,,,,,,5,
18.41456,clGetPlatformInfo|General,START,,,,,,,,,,,6,
18.418027,clGetPlatformInfo|General,END,,,,,,,,,,,6,
18.421203,clGetPlatformInfo|General,START,,,,,,,,,,,7,
18.424509,clGetPlatformInfo|General,END,,,,,,,,,,,7,
51.602677,clGetDeviceIDs|General,START,,,,,,,,,,,8,
51.681627,clGetDeviceIDs|General,END,,,,,,,,,,,8,
51.692017,clGetDeviceIDs|General,START,,,,,,,,,,,9,
51.695824,clGetDeviceIDs|General,END,,,,,,,,,,,9,
51.697698,clGetDeviceIDs|General,START,,,,,,,,,,,10,
51.699381,clGetDeviceIDs|General,END,,,,,,,,,,,10,
51.712566,clGetPlatformInfo|General,START,,,,,,,,,,,11,
51.714891,clGetPlatformInfo|General,END,,,,,,,,,,,11,
51.716584,clGetPlatformInfo|General,START,,,,,,,,,,,12,
51.718107,clGetPlatformInfo|General,END,,,,,,,,,,,12,
51.72004,clGetDeviceIDs|General,START,,,,,,,,,,,13,
51.721824,clGetDeviceIDs|General,END,,,,,,,,,,,13,
51.724158,clGetDeviceIDs|General,START,,,,,,,,,,,14,
51.725821,clGetDeviceIDs|General,END,,,,,,,,,,,14,
51.728657,clRetainDevice|General,START,,,,,,,,,,,15,
51.730641,clRetainDevice|General,END,,,,,,,,,,,15,
51.747703,clGetDeviceInfo|General,START,,,,,,,,,,,16,
124.474684,clGetDeviceInfo|General,END,,,,,,,,,,,16,
124.503769,clGetDeviceInfo|General,START,,,,,,,,,,,17,
124.512987,clGetDeviceInfo|General,END,,,,,,,,,,,17,
124.536251,clCreateContext|General,START,,,,,,,,,,,18,
131.819528,clCreateContext|General,END,,,,,,,,,,,18,
131.828525,clCreateCommandQueue|General,START,,,,,,,,,,,19,
131.837522,clCreateCommandQueue|General,END,,,,,,,,,,,19,
577.264606,clCreateProgramWithBinary|General,START,,,,,,,,,,,20,
5958.459317,clCreateProgramWithBinary|General,END,,,,,,,,,,,20,
5958.481379,clBuildProgram|General,START,,,,,,,,,,,21,
5958.488172,clBuildProgram|General,END,,,,,,,,,,,21,
5958.492019,clGetProgramInfo|General,START,,,,,,,,,,,22,
5958.495997,clGetProgramInfo|General,END,,,,,,,,,,,22,
5958.499003,clGetProgramInfo|General,START,,,,,,,,,,,23,
5958.502349,clGetProgramInfo|General,END,,,,,,,,,,,23,
5958.506337,clRetainDevice|General,START,,,,,,,,,,,24,
5958.509633,clRetainDevice|General,END,,,,,,,,,,,24,
5958.51313,clGetProgramBuildInfo|General,START,,,,,,,,,,,25,
5958.517027,clGetProgramBuildInfo|General,END,,,,,,,,,,,25,
5958.521015,clGetProgramBuildInfo|General,START,,,,,,,,,,,26,
5958.524221,clGetProgramBuildInfo|General,END,,,,,,,,,,,26,
5958.528298,clRetainDevice|General,START,,,,,,,,,,,27,
5958.531044,clRetainDevice|General,END,,,,,,,,,,,27,
5958.536694,clReleaseDevice|General,START,,,,,,,,,,,28,
5958.539931,clReleaseDevice|General,END,,,,,,,,,,,28,
5958.542936,clReleaseDevice|General,START,,,,,,,,,,,29,
5958.545852,clReleaseDevice|General,END,,,,,,,,,,,29,
5958.548968,clCreateKernel|General,START,,,,,,,,,,,30,
5966.647584,clCreateKernel|General,END,,,,,,,,,,,30,
12593.85476,clCreateBuffer|General,START,,,,,,,,,,,31,
12593.89825,clCreateBuffer|General,END,,,,,,,,,,,31,
12593.90137,clCreateBuffer|General,START,,,,,,,,,,,32,
12593.9044,clCreateBuffer|General,END,,,,,,,,,,,32,
12593.90615,clCreateBuffer|General,START,,,,,,,,,,,33,
12593.90799,clCreateBuffer|General,END,,,,,,,,,,,33,
