Profile Summary
Generated on: 2022-04-05 17:47:17
Msec since Epoch: 1649148437753
Profiled application: host
Target platform: 
Tool version: 2020.2
XRT build version: 2.9.317
Build version branch: 2020.2_PU1
Build version hash: b0230e59e22351fb957dc46a6e68d7560e5f630c
Build version date: N/A 
Target devices: xilinx_u200_xdma_201830_2-0
Flow mode: Hardware Emulation

OpenCL API Calls
API Name,Number Of Calls,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
clWaitForEvents,2,42003.6,0.396144,21001.8,42003.2,
clCreateProgramWithBinary,1,16667.9,16667.9,16667.9,16667.9,
clFinish,2,8.94513,0.002054,4.47257,8.94308,
clCreateKernel,1,8.56347,8.56347,8.56347,8.56347,
clEnqueueTask,1,1.46615,1.46615,1.46615,1.46615,
clSetKernelArg,41,1.24123,0.003186,0.0302738,0.813257,
clEnqueueWriteBuffer,3,0.145398,0.014488,0.048466,0.108938,
clGetDeviceIDs,5,0.066769,0.001644,0.0133538,0.057009,
clGetExtensionFunctionAddress,2,0.044264,0.010139,0.022132,0.034125,
clGetDeviceInfo,2,0.04212,0.002104,0.02106,0.040016,
clEnqueueReadBuffer,1,0.0371,0.0371,0.0371,0.0371,
clEnqueueMigrateMemObjects,1,0.033314,0.033314,0.033314,0.033314,
clReleaseMemObject,12,0.028423,0.001463,0.00236858,0.007113,
clCreateBuffer,4,0.017443,0.001713,0.00436075,0.01064,
clGetPlatformInfo,6,0.017373,0.001493,0.0028955,0.004088,
clRetainMemObject,8,0.013406,0.001473,0.00167575,0.002404,
clGetExtensionFunctionAddressForPlatform,2,0.012193,0.003657,0.0060965,0.008536,
clCreateContext,1,0.012173,0.012173,0.012173,0.012173,
clGetEventProfilingInfo,2,0.012093,0.003747,0.0060465,0.008346,
clReleaseDevice,3,0.011652,0.003607,0.003884,0.004238,
clRetainDevice,3,0.009759,0.001824,0.003253,0.004188,
clGetProgramBuildInfo,2,0.009508,0.004078,0.004754,0.00543,
clGetProgramInfo,2,0.009448,0.004208,0.004724,0.00524,
clRetainEvent,2,0.009227,0.003737,0.0046135,0.00549,
clReleaseEvent,2,0.008436,0.003196,0.004218,0.00524,
clBuildProgram,1,0.008356,0.008356,0.008356,0.008356,
clCreateCommandQueue,1,0.004128,0.004128,0.004128,0.004128,
clReleaseProgram,1,0.003968,0.003968,0.003968,0.003968,
clReleaseCommandQueue,1,0.003928,0.003928,0.003928,0.003928,
clReleaseContext,1,0.003617,0.003617,0.003617,0.003617,
clReleaseKernel,1,0.003307,0.003307,0.003307,0.003307,


Kernel Execution (includes estimated device times)
Kernel,Number Of Enqueues,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
Conv_sysarr,1,0.174892,0.174892,0.174892,0.174892,


Compute Unit Utilization (includes estimated device times)
Device,Compute Unit,Kernel,Global Work Size,Local Work Size,Number Of Calls,Dataflow Execution,Max Overlapping Executions,Dataflow Acceleration,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),Clock Frequency (MHz),


Data Transfer: Host to Global Memory
Context:Number of Devices,Transfer Type,Number Of Buffer Transfers,Transfer Rate (MB/s),Average Bandwidth Utilization (%),Average Buffer Size (KB),Total Time (ms),Average Time (ms),
context0:1,READ,1,N/A,N/A,32.768,N/A,N/A,
context0:1,WRITE,3,N/A,N/A,13.0667,N/A,N/A,


Data Transfer: Kernels to Global Memory
Device,Compute Unit/Port Name,Kernel Arguments,Memory Resources,Transfer Type,Number Of Transfers,Transfer Rate (MB/s),Average Bandwidth Utilization (%),Average Size (KB),Average Latency (ns),


Top Data Transfer: Kernels to Global Memory
Device,Compute Unit,Number of Transfers,Average Bytes per Transfer,Transfer Efficiency (%),Total Data Transfer (MB),Total Write (MB),Total Read (MB),Total Transfer Rate (MB/s),


Top Kernel Execution
Kernel Instance Address,Kernel,Context ID,Command Queue ID,Device,Start Time (ms),Duration (ms),Global Work Size,Local Work Size,
93913472265808,Conv_sysarr,0,0,xilinx_u200_xdma_201830_2-0,0.053018,0.174892,1:1:1,1:1:1,


Top Memory Writes: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Writing Rate(MB/s),
0,0,0,16759.8,N/A,0.032,N/A,
34359738368,0,0,16763.8,N/A,20.736,N/A,
17179869184,0,0,16759.8,N/A,18.432,N/A,


Top Memory Reads: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Reading Rate(MB/s),
51539607552,0,0,58773.9,N/A,32.768,N/A,


Guidance Parameters
Parameter,Element,Value,
DEVICE_EXEC_TIME,xilinx_u200_xdma_201830_2-0,0.174892,
CU_CALLS,xilinx_u200_xdma_201830_2-0|Conv_sysarr_1,1,
NUM_MONITORS,xilinx_u200_xdma_201830_2-0|XCL_PERF_MON_ACCEL|0,0,
NUM_MONITORS,xilinx_u200_xdma_201830_2-0|XCL_PERF_MON_MEMORY|0,0,
NUM_MONITORS,xilinx_u200_xdma_201830_2-0|XCL_PERF_MON_STR|0,0,
MIGRATE_MEM,host,1,
MEMORY_USAGE,xilinx_u200_xdma_201830_2-0|DDR[0],1,
MEMORY_USAGE,xilinx_u200_xdma_201830_2-0|DDR[1],1,
MEMORY_USAGE,xilinx_u200_xdma_201830_2-0|DDR[2],1,
MEMORY_USAGE,xilinx_u200_xdma_201830_2-0|DDR[3],1,
MEMORY_USAGE,xilinx_u200_xdma_201830_2-0|PLRAM[0],0,
MEMORY_USAGE,xilinx_u200_xdma_201830_2-0|PLRAM[1],0,
MEMORY_USAGE,xilinx_u200_xdma_201830_2-0|PLRAM[2],0,
PLRAM_DEVICE,all,1,
HBM_DEVICE,all,0,
KDMA_DEVICE,all,1,
P2P_DEVICE,all,1,
P2P_HOST_TRANSFERS,host,0,
PORT_BIT_WIDTH,Conv_sysarr_1/m_axi_gmem0,64,
PORT_BIT_WIDTH,Conv_sysarr_1/m_axi_gmem1,64,
PORT_BIT_WIDTH,Conv_sysarr_1/m_axi_gmem2,64,
PORT_BIT_WIDTH,Conv_sysarr_1/m_axi_gmem3,256,
KERNEL_COUNT,Conv_sysarr,1,
OBJECTS_RELEASED,all,0,
TRACE_MEMORY,all,NA,
CU_CONTEXT_EN,all,0,
MAX_PARALLEL_KERNEL_ENQUEUES,Conv_sysarr,1,
COMMAND_QUEUE_OOO,93913472219392,1,
PLRAM_SIZE_BYTES,xilinx_u200_xdma_201830_2-0,131072,
KERNEL_BUFFER_INFO,Conv_sysarr|bias_in|DDR[0]|1,32,
KERNEL_BUFFER_INFO,Conv_sysarr|weight_in|DDR[1]|1,18432,
KERNEL_BUFFER_INFO,Conv_sysarr|data_in|DDR[2]|1,20736,
KERNEL_BUFFER_INFO,Conv_sysarr|conv_out|DDR[3]|1,32768,
MEMORY_TYPE_BIT_WIDTH,xilinx_u200_xdma_201830_2-0|DDR,512,
MEMORY_TYPE_BIT_WIDTH,xilinx_u200_xdma_201830_2-0|HBM,256,
MEMORY_TYPE_BIT_WIDTH,xilinx_u200_xdma_201830_2-0|PLRAM,512,
XRT_INI_SETTING,aie_trace_buffer_size,8M,
XRT_INI_SETTING,continuous_trace,0,
XRT_INI_SETTING,continuous_trace_interval_ms,10,
XRT_INI_SETTING,data_transfer_trace,coarse,
XRT_INI_SETTING,launch_waveform,batch,
XRT_INI_SETTING,lop_trace,0,
XRT_INI_SETTING,power_profile,0,
XRT_INI_SETTING,profile,1,
XRT_INI_SETTING,stall_trace,off,
XRT_INI_SETTING,timeline_trace,1,
XRT_INI_SETTING,trace_buffer_size,128G,
XRT_INI_SETTING,verbosity,4,
BUFFER_RD_ACTIVE_TIME_MS,all,0.354665,
BUFFER_WR_ACTIVE_TIME_MS,all,8.94898,
BUFFER_TX_ACTIVE_TIME_MS,all,42014.4,
APPLICATION_RUN_TIME_MS,all,58774.6,
TOTAL_KERNEL_RUN_TIME_MS,all,42004.3,


