Timeline Trace
Generated on: 2022-04-05 17:47:17
Msec since Epoch: 1649148437753
Profiled application: host
Target platform: Xilinx
Tool version: 2020.2
XRT build version: 2.9.317
Build version branch: 2020.2_PU1
Build version hash: b0230e59e22351fb957dc46a6e68d7560e5f630c
Build version date: N/A 


Time_msec,Name,Event,Address_Port,Size,Latency_cycles,Start_cycles,End_cycles,Latency_usec,Start_msec,End_msec,
5.182899,clGetExtensionFunctionAddress|General,START,,,,,,,,,,,0,
5.204471,clGetExtensionFunctionAddressForPlatform|General,START,,,,,,,,,,,1,
5.213007,clGetExtensionFunctionAddressForPlatform|General,END,,,,,,,,,,,1,
5.217024,clGetExtensionFunctionAddress|General,END,,,,,,,,,,,0,
5.221473,clGetExtensionFunctionAddress|General,START,,,,,,,,,,,2,
5.224919,clGetExtensionFunctionAddressForPlatform|General,START,,,,,,,,,,,3,
5.228576,clGetExtensionFunctionAddressForPlatform|General,END,,,,,,,,,,,3,
5.231612,clGetExtensionFunctionAddress|General,END,,,,,,,,,,,2,
5.236141,clGetPlatformInfo|General,START,,,,,,,,,,,4,
5.240229,clGetPlatformInfo|General,END,,,,,,,,,,,4,
5.243375,clGetPlatformInfo|General,START,,,,,,,,,,,5,
5.246741,clGetPlatformInfo|General,END,,,,,,,,,,,5,
5.250057,clGetPlatformInfo|General,START,,,,,,,,,,,6,
5.253283,clGetPlatformInfo|General,END,,,,,,,,,,,6,
5.256209,clGetPlatformInfo|General,START,,,,,,,,,,,7,
5.259255,clGetPlatformInfo|General,END,,,,,,,,,,,7,
44.972494,clGetDeviceIDs|General,START,,,,,,,,,,,8,
45.029503,clGetDeviceIDs|General,END,,,,,,,,,,,8,
45.036776,clGetDeviceIDs|General,START,,,,,,,,,,,9,
45.040604,clGetDeviceIDs|General,END,,,,,,,,,,,9,
45.042357,clGetDeviceIDs|General,START,,,,,,,,,,,10,
45.04403,clGetDeviceIDs|General,END,,,,,,,,,,,10,
45.055602,clGetPlatformInfo|General,START,,,,,,,,,,,11,
45.057756,clGetPlatformInfo|General,END,,,,,,,,,,,11,
45.059349,clGetPlatformInfo|General,START,,,,,,,,,,,12,
45.060842,clGetPlatformInfo|General,END,,,,,,,,,,,12,
45.062696,clGetDeviceIDs|General,START,,,,,,,,,,,13,
45.065311,clGetDeviceIDs|General,END,,,,,,,,,,,13,
45.067304,clGetDeviceIDs|General,START,,,,,,,,,,,14,
45.068948,clGetDeviceIDs|General,END,,,,,,,,,,,14,
45.071312,clRetainDevice|General,START,,,,,,,,,,,15,
45.073136,clRetainDevice|General,END,,,,,,,,,,,15,
45.082884,clGetDeviceInfo|General,START,,,,,,,,,,,16,
45.1229,clGetDeviceInfo|General,END,,,,,,,,,,,16,
45.125305,clGetDeviceInfo|General,START,,,,,,,,,,,17,
45.127409,clGetDeviceInfo|General,END,,,,,,,,,,,17,
45.135765,clCreateContext|General,START,,,,,,,,,,,18,
45.147938,clCreateContext|General,END,,,,,,,,,,,18,
45.150142,clCreateCommandQueue|General,START,,,,,,,,,,,19,
45.15427,clCreateCommandQueue|General,END,,,,,,,,,,,19,
64.194578,clCreateProgramWithBinary|General,START,,,,,,,,,,,20,
16732.08184,clCreateProgramWithBinary|General,END,,,,,,,,,,,20,
16732.1104,clBuildProgram|General,START,,,,,,,,,,,21,
16732.11876,clBuildProgram|General,END,,,,,,,,,,,21,
16732.12384,clGetProgramInfo|General,START,,,,,,,,,,,22,
16732.12908,clGetProgramInfo|General,END,,,,,,,,,,,22,
16732.1329,clGetProgramInfo|General,START,,,,,,,,,,,23,
16732.1371,clGetProgramInfo|General,END,,,,,,,,,,,23,
16732.14262,clRetainDevice|General,START,,,,,,,,,,,24,
16732.14681,clRetainDevice|General,END,,,,,,,,,,,24,
16732.15132,clGetProgramBuildInfo|General,START,,,,,,,,,,,25,
16732.15675,clGetProgramBuildInfo|General,END,,,,,,,,,,,25,
16732.16135,clGetProgramBuildInfo|General,START,,,,,,,,,,,26,
16732.16543,clGetProgramBuildInfo|General,END,,,,,,,,,,,26,
16732.17048,clRetainDevice|General,START,,,,,,,,,,,27,
16732.17422,clRetainDevice|General,END,,,,,,,,,,,27,
16732.1809,clReleaseDevice|General,START,,,,,,,,,,,28,
16732.18513,clReleaseDevice|General,END,,,,,,,,,,,28,
16732.18906,clReleaseDevice|General,START,,,,,,,,,,,29,
16732.19287,clReleaseDevice|General,END,,,,,,,,,,,29,
16732.19682,clCreateKernel|General,START,,,,,,,,,,,30,
16740.76029,clCreateKernel|General,END,,,,,,,,,,,30,
16758.43938,clCreateBuffer|General,START,,,,,,,,,,,31,
16758.45002,clCreateBuffer|General,END,,,,,,,,,,,31,
16758.45239,clCreateBuffer|General,START,,,,,,,,,,,32,
16758.45567,clCreateBuffer|General,END,,,,,,,,,,,32,
16758.45726,clCreateBuffer|General,START,,,,,,,,,,,33,
16758.45897,clCreateBuffer|General,END,,,,,,,,,,,33,
16758.46046,clCreateBuffer|General,START,,,,,,,,,,,34,
16758.46228,clCreateBuffer|General,END,,,,,,,,,,,34,
16758.46396,clSetKernelArg|General,START,,,,,,,,,,,35,
16759.27722,clSetKernelArg|General,END,,,,,,,,,,,35,
16759.28003,clSetKernelArg|General,START,,,,,,,,,,,36,
16759.45308,clSetKernelArg|General,END,,,,,,,,,,,36,
16759.45486,clSetKernelArg|General,START,,,,,,,,,,,37,
16759.52181,clSetKernelArg|General,END,,,,,,,,,,,37,
16759.52361,clSetKernelArg|General,START,,,,,,,,,,,38,
16759.56319,clSetKernelArg|General,END,,,,,,,,,,,38,
16759.56538,clRetainMemObject|General,START,,,,,,,,,,,39,
16759.56778,clRetainMemObject|General,END,,,,,,,,,,,39,
16759.56945,clRetainMemObject|General,START,,,,,,,,,,,40,
16759.5713,clRetainMemObject|General,END,,,,,,,,,,,40,
16759.57281,clRetainMemObject|General,START,,,,,,,,,,,41,
16759.57445,clRetainMemObject|General,END,,,,,,,,,,,41,
16759.57589,clRetainMemObject|General,START,,,,,,,,,,,42,
16759.57739,clRetainMemObject|General,END,,,,,,,,,,,42,
16759.57928,clRetainMemObject|General,START,,,,,,,,,,,43,
16759.58084,clRetainMemObject|General,END,,,,,,,,,,,43,
16759.58231,clRetainMemObject|General,START,,,,,,,,,,,44,
16759.58381,clRetainMemObject|General,END,,,,,,,,,,,44,
16759.58526,clRetainMemObject|General,START,,,,,,,,,,,45,
16759.58674,clRetainMemObject|General,END,,,,,,,,,,,45,
16759.58818,clRetainMemObject|General,START,,,,,,,,,,,46,
16759.58966,clRetainMemObject|General,END,,,,,,,,,,,46,
16759.59208,clEnqueueMigrateMemObjects|93913472219408,START,,,,,,,,,,,47,
16759.62539,clEnqueueMigrateMemObjects|93913472219408,END,,,,,,,,,,,47,
16759.62792,clReleaseMemObject|General,START,,,,,,,,,,,48,
16759.63001,clReleaseMemObject|General,END,,,,,,,,,,,48,
16759.63158,clReleaseMemObject|General,START,,,,,,,,,,,49,
16759.63326,clReleaseMemObject|General,END,,,,,,,,,,,49,
16759.63592,clReleaseMemObject|General,START,,,,,,,,,,,50,
16759.6375,clReleaseMemObject|General,END,,,,,,,,,,,50,
16759.63897,clReleaseMemObject|General,START,,,,,,,,,,,51,
16759.64054,clReleaseMemObject|General,END,,,,,,,,,,,51,
16759.64208,clReleaseMemObject|General,START,,,,,,,,,,,52,
16759.64367,clReleaseMemObject|General,END,,,,,,,,,,,52,
16759.64511,clReleaseMemObject|General,START,,,,,,,,,,,53,
16759.64661,clReleaseMemObject|General,END,,,,,,,,,,,53,
16759.64805,clReleaseMemObject|General,START,,,,,,,,,,,54,
16759.64954,clReleaseMemObject|General,END,,,,,,,,,,,54,
16759.65093,clReleaseMemObject|General,START,,,,,,,,,,,55,
16759.65239,clReleaseMemObject|General,END,,,,,,,,,,,55,
16759.654,clFinish|General,START,,,,,,,,,,,56,
16759.65606,clFinish|General,END,,,,,,,,,,,56,
16759.66038,clEnqueueWriteBuffer|93913472219408,START,,,,,,,,,,,57,
16759.66556,WRITE_BUFFER,QUEUE,0X400000000|bank1,18432,,,,,,,,,
16759.67239,WRITE_BUFFER,SUBMIT,0X400000000|bank1,18432,,,,,,,,,
16759.76931,clEnqueueWriteBuffer|93913472219408,END,,,,,,,,,,,57,
16759.77527,clEnqueueWriteBuffer|93913472219408,START,,,,,,,,,,,58,
16759.78063,WRITE_BUFFER,QUEUE,0X0|bank0,32,,,,,,,,,
16759.78469,WRITE_BUFFER,SUBMIT,0X0|bank0,32,,,,,,,,,
16759.78975,clEnqueueWriteBuffer|93913472219408,END,,,,,,,,,,,58,
16759.79315,clEnqueueWriteBuffer|93913472219408,START,,,,,,,,,,,59,
16759.79711,WRITE_BUFFER,START,0X400000000|bank1|0X7f3d6899c700,18432,,,,,,,1,None,
16759.7974,WRITE_BUFFER,QUEUE,0X800000000|bank2,20736,,,,,,,,,
16759.81012,WRITE_BUFFER,SUBMIT,0X800000000|bank2,20736,,,,,,,,,
16759.81512,clEnqueueWriteBuffer|93913472219408,END,,,,,,,,,,,59,
16759.82409,clFinish|General,START,,,,,,,,,,,60,
16759.8394,WRITE_BUFFER,START,0X0|bank0|0X7f3d618d0700,32,,,,,,,2,None,
16763.80358,WRITE_BUFFER,END,0X400000000|bank1|0X7f3d6899c700,18432,,,,,,,1,None,
16763.82164,WRITE_BUFFER,START,0X800000000|bank2|0X7f3d6899c700,20736,,,,,,,3,None,
16766.40638,WRITE_BUFFER,END,0X0|bank0|0X7f3d618d0700,32,,,,,,,2,None,
16768.74609,WRITE_BUFFER,END,0X800000000|bank2|0X7f3d6899c700,20736,,,,,,,3,None,
16768.76717,clFinish|General,END,,,,,,,,,,,60,
16768.78138,clSetKernelArg|General,START,,,,,,,,,,,61,
16768.79848,clSetKernelArg|General,END,,,,,,,,,,,61,
16768.80484,clSetKernelArg|General,START,,,,,,,,,,,62,
16768.80893,clSetKernelArg|General,END,,,,,,,,,,,62,
16768.81231,clSetKernelArg|General,START,,,,,,,,,,,63,
16768.81582,clSetKernelArg|General,END,,,,,,,,,,,63,
16768.84575,clSetKernelArg|General,START,,,,,,,,,,,64,
16768.85036,clSetKernelArg|General,END,,,,,,,,,,,64,
16768.85373,clSetKernelArg|General,START,,,,,,,,,,,65,
