Profile Summary
Generated on: 2022-02-23 10:33:33
Msec since Epoch: 1645580013992
Profiled application: host
Target platform: 
Tool version: 2020.2
XRT build version: 2.9.317
Build version branch: 2020.2_PU1
Build version hash: b0230e59e22351fb957dc46a6e68d7560e5f630c
Build version date: N/A 
Target devices: xilinx_u200_xdma_201830_2-0
Flow mode: System Run

OpenCL API Calls
API Name,Number Of Calls,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
clCreateProgramWithBinary,1,5462.42,5462.42,5462.42,5462.42,
clWaitForEvents,2,402.535,2.70076,201.268,399.835,
clGetDeviceInfo,2,71.9605,0.006633,35.9802,71.9538,
clCreateContext,1,7.07464,7.07464,7.07464,7.07464,
clCreateKernel,1,5.39417,5.39417,5.39417,5.39417,
clFinish,2,0.560228,0.002004,0.280114,0.558224,
clSetKernelArg,41,0.541484,0.001383,0.0132069,0.297037,
clEnqueueWriteBuffer,3,0.1046,0.006843,0.0348667,0.08867,
clGetDeviceIDs,5,0.101584,0.002625,0.0203168,0.084561,
clEnqueueTask,1,0.070054,0.070054,0.070054,0.070054,
clGetExtensionFunctionAddress,2,0.04741,0.0109,0.023705,0.03651,
clEnqueueReadBuffer,1,0.046409,0.046409,0.046409,0.046409,
clCreateBuffer,4,0.045626,0.001703,0.0114065,0.039706,
clReleaseMemObject,12,0.033193,0.001413,0.00276608,0.012254,
clEnqueueMigrateMemObjects,1,0.032722,0.032722,0.032722,0.032722,
clGetPlatformInfo,6,0.022454,0.002565,0.00374233,0.00522,
clGetExtensionFunctionAddressForPlatform,2,0.013886,0.003917,0.006943,0.009969,
clRetainMemObject,8,0.013787,0.001423,0.00172337,0.003136,
clGetEventProfilingInfo,2,0.013417,0.004299,0.0067085,0.009118,
clReleaseEvent,2,0.01084,0.004057,0.00542,0.006783,
clRetainDevice,3,0.009037,0.002605,0.00301233,0.003276,
clReleaseDevice,3,0.008857,0.002785,0.00295233,0.003086,
clCreateCommandQueue,1,0.007895,0.007895,0.007895,0.007895,
clRetainEvent,2,0.007525,0.002385,0.0037625,0.00514,
clGetProgramInfo,2,0.006984,0.003116,0.003492,0.003868,
clBuildProgram,1,0.006903,0.006903,0.006903,0.006903,
clGetProgramBuildInfo,2,0.006753,0.003066,0.0033765,0.003687,
clReleaseCommandQueue,1,0.003937,0.003937,0.003937,0.003937,
clReleaseKernel,1,0.003828,0.003828,0.003828,0.003828,
clReleaseProgram,1,0.003426,0.003426,0.003426,0.003426,
clReleaseContext,1,0.003307,0.003307,0.003307,0.003307,


Kernel Execution
Kernel,Number Of Enqueues,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
Conv_sysarr,1,399.796,399.796,399.796,399.796,


Compute Unit Utilization
Device,Compute Unit,Kernel,Global Work Size,Local Work Size,Number Of Calls,Dataflow Execution,Max Overlapping Executions,Dataflow Acceleration,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),Clock Frequency (MHz),
xilinx_u200_xdma_201830_2-0,Conv_sysarr_1,Conv_sysarr,1:1:1,1:1:1,1,Yes,2,1.941946x,423.462,398.892,822.341,398.892,100,


Data Transfer: Host to Global Memory
Context:Number of Devices,Transfer Type,Number Of Buffer Transfers,Transfer Rate (MB/s),Average Bandwidth Utilization (%),Average Buffer Size (KB),Total Time (ms),Average Time (ms),
context0:1,READ,1,1198.492211,12.484294,3211.26,2.679420,2.679420,
context0:1,WRITE,3,1762.913635,18.363684,483.755,0.823219,0.274406,


Data Transfer: Kernels to Global Memory
Device,Compute Unit/Port Name,Kernel Arguments,Memory Resources,Transfer Type,Number Of Transfers,Transfer Rate (MB/s),Average Bandwidth Utilization (%),Average Size (KB),Average Latency (ns),
xilinx_u200_xdma_201830_2-0,Conv_sysarr_1/m_axi_gmem1,weight_in,DDR[1],READ,36864,1525.17,13.2393,0.256,1925.57,


Data Transfer: DMA
Device,Transfer Type,Number Of Transfers,Transfer Rate (MB/s),Total Data Transfer (MB),Total Time (ms),Average Size (KB),Average Latency (ns),
xilinx_u200_xdma_201830_2-0,READ,784,N/A,3.21126,N/A,4.096,N/A,
xilinx_u200_xdma_201830_2-0,WRITE,2835,N/A,1.45126,N/A,0.51191,N/A,


Data Transfer: DMA Bypass
Device,Transfer Type,Number Of Transfers,Transfer Rate (MB/s),Total Data Transfer (MB),Total Time (ms),Average Size (KB),Average Latency (ns),


Data Transfer: Global Memory to Global Memory
Device,Transfer Type,Number Of Transfers,Transfer Rate (MB/s),Total Data Transfer (MB),Total Time (ms),Average Size (KB),Average Latency (ns),


Top Data Transfer: Kernels to Global Memory
Device,Compute Unit,Number of Transfers,Average Bytes per Transfer,Transfer Efficiency (%),Total Data Transfer (MB),Total Write (MB),Total Read (MB),Total Transfer Rate (MB/s),
xilinx_u200_xdma_201830_2-0,Conv_sysarr_1,36864,256,6.25,9.43718,0,9.43718,1525.17,


Top Kernel Execution
Kernel Instance Address,Kernel,Context ID,Command Queue ID,Device,Start Time (ms),Duration (ms),Global Work Size,Local Work Size,
94852225355600,Conv_sysarr,0,0,xilinx_u200_xdma_201830_2-0,12966.4,399.796,1:1:1,1:1:1,


Top Memory Writes: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Writing Rate(MB/s),
412316860416,0,0,12965.7,0.428527,861.184,2009.637666,
343597383680,0,0,12965.6,0.320671,589.824,1839.343127,
274877906944,0,0,12965.6,0.074021,0.256,3.458478,


Top Memory Reads: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Reading Rate(MB/s),
481036337152,0,0,13366.4,2.679420,3211.26,1198.492211,


Guidance Parameters
Parameter,Element,Value,
DEVICE_EXEC_TIME,xilinx_u200_xdma_201830_2-0,399.795624,
CU_CALLS,xilinx_u200_xdma_201830_2-0|Conv_sysarr_1,1,
NUM_MONITORS,xilinx_u200_xdma_201830_2-0|XCL_PERF_MON_ACCEL|1,1,
NUM_MONITORS,xilinx_u200_xdma_201830_2-0|XCL_PERF_MON_MEMORY|1,4,
NUM_MONITORS,xilinx_u200_xdma_201830_2-0|XCL_PERF_MON_STR|0,0,
MIGRATE_MEM,host,1,
MEMORY_USAGE,xilinx_u200_xdma_201830_2-0|DDR[0],1,
MEMORY_USAGE,xilinx_u200_xdma_201830_2-0|DDR[1],1,
MEMORY_USAGE,xilinx_u200_xdma_201830_2-0|DDR[2],1,
MEMORY_USAGE,xilinx_u200_xdma_201830_2-0|DDR[3],1,
MEMORY_USAGE,xilinx_u200_xdma_201830_2-0|PLRAM[0],0,
MEMORY_USAGE,xilinx_u200_xdma_201830_2-0|PLRAM[1],0,
MEMORY_USAGE,xilinx_u200_xdma_201830_2-0|PLRAM[2],0,
PLRAM_DEVICE,all,1,
HBM_DEVICE,all,0,
KDMA_DEVICE,all,1,
P2P_DEVICE,all,1,
P2P_HOST_TRANSFERS,host,0,
PORT_BIT_WIDTH,Conv_sysarr_1/m_axi_gmem0,128,
PORT_BIT_WIDTH,Conv_sysarr_1/m_axi_gmem1,128,
PORT_BIT_WIDTH,Conv_sysarr_1/m_axi_gmem2,128,
PORT_BIT_WIDTH,Conv_sysarr_1/m_axi_gmem3,512,
KERNEL_COUNT,Conv_sysarr,1,
OBJECTS_RELEASED,all,0,
TRACE_MEMORY,all,FIFO,
CU_CONTEXT_EN,all,0,
MAX_PARALLEL_KERNEL_ENQUEUES,Conv_sysarr,1,
COMMAND_QUEUE_OOO,94852225474784,1,
PLRAM_SIZE_BYTES,xilinx_u200_xdma_201830_2-0,131072,
KERNEL_BUFFER_INFO,Conv_sysarr|bias_in|DDR[0]|1,256,
KERNEL_BUFFER_INFO,Conv_sysarr|weight_in|DDR[1]|1,589824,
KERNEL_BUFFER_INFO,Conv_sysarr|data_in|DDR[2]|1,861184,
KERNEL_BUFFER_INFO,Conv_sysarr|conv_out|DDR[3]|1,3211264,
TRACE_BUFFER_FULL,xilinx_u200_xdma_201830_2-0,1,
MEMORY_TYPE_BIT_WIDTH,xilinx_u200_xdma_201830_2-0|DDR,512,
MEMORY_TYPE_BIT_WIDTH,xilinx_u200_xdma_201830_2-0|HBM,256,
MEMORY_TYPE_BIT_WIDTH,xilinx_u200_xdma_201830_2-0|PLRAM,512,
XRT_INI_SETTING,aie_trace_buffer_size,8M,
XRT_INI_SETTING,continuous_trace,0,
XRT_INI_SETTING,continuous_trace_interval_ms,10,
XRT_INI_SETTING,data_transfer_trace,fine,
XRT_INI_SETTING,launch_waveform,batch,
XRT_INI_SETTING,lop_trace,0,
XRT_INI_SETTING,power_profile,0,
XRT_INI_SETTING,profile,1,
XRT_INI_SETTING,stall_trace,off,
XRT_INI_SETTING,timeline_trace,1,
XRT_INI_SETTING,trace_buffer_size,512M,
XRT_INI_SETTING,verbosity,4,
BUFFER_RD_ACTIVE_TIME_MS,all,2.67942,
BUFFER_WR_ACTIVE_TIME_MS,all,0.525662,
BUFFER_TX_ACTIVE_TIME_MS,all,403.403,
APPLICATION_RUN_TIME_MS,all,13407.3,
TOTAL_KERNEL_RUN_TIME_MS,all,399.796,


