Timeline Trace
Generated on: 2022-02-22 18:10:28
Msec since Epoch: 1645521028062
Profiled application: host
Target platform: Xilinx
Tool version: 2020.2
XRT build version: 2.9.317
Build version branch: 2020.2_PU1
Build version hash: b0230e59e22351fb957dc46a6e68d7560e5f630c
Build version date: N/A 


Time_msec,Name,Event,Address_Port,Size,Latency_cycles,Start_cycles,End_cycles,Latency_usec,Start_msec,End_msec,
2.633225,clGetExtensionFunctionAddress|General,START,,,,,,,,,,,0,
2.653774,clGetExtensionFunctionAddressForPlatform|General,START,,,,,,,,,,,1,
2.663212,clGetExtensionFunctionAddressForPlatform|General,END,,,,,,,,,,,1,
2.66711,clGetExtensionFunctionAddress|General,END,,,,,,,,,,,0,
2.671688,clGetExtensionFunctionAddress|General,START,,,,,,,,,,,2,
2.675205,clGetExtensionFunctionAddressForPlatform|General,START,,,,,,,,,,,3,
2.678782,clGetExtensionFunctionAddressForPlatform|General,END,,,,,,,,,,,3,
2.681828,clGetExtensionFunctionAddress|General,END,,,,,,,,,,,2,
2.685444,clGetPlatformInfo|General,START,,,,,,,,,,,4,
2.689712,clGetPlatformInfo|General,END,,,,,,,,,,,4,
2.692858,clGetPlatformInfo|General,START,,,,,,,,,,,5,
2.696255,clGetPlatformInfo|General,END,,,,,,,,,,,5,
2.699581,clGetPlatformInfo|General,START,,,,,,,,,,,6,
2.702737,clGetPlatformInfo|General,END,,,,,,,,,,,6,
2.705603,clGetPlatformInfo|General,START,,,,,,,,,,,7,
2.710562,clGetPlatformInfo|General,END,,,,,,,,,,,7,
37.360632,clGetDeviceIDs|General,START,,,,,,,,,,,8,
37.425495,clGetDeviceIDs|General,END,,,,,,,,,,,8,
37.437398,clGetDeviceIDs|General,START,,,,,,,,,,,9,
37.44368,clGetDeviceIDs|General,END,,,,,,,,,,,9,
37.446776,clGetDeviceIDs|General,START,,,,,,,,,,,10,
37.449671,clGetDeviceIDs|General,END,,,,,,,,,,,10,
37.464008,clGetPlatformInfo|General,START,,,,,,,,,,,11,
37.467465,clGetPlatformInfo|General,END,,,,,,,,,,,11,
37.47011,clGetPlatformInfo|General,START,,,,,,,,,,,12,
37.472785,clGetPlatformInfo|General,END,,,,,,,,,,,12,
37.475991,clGetDeviceIDs|General,START,,,,,,,,,,,13,
37.478806,clGetDeviceIDs|General,END,,,,,,,,,,,13,
37.482143,clGetDeviceIDs|General,START,,,,,,,,,,,14,
37.484818,clGetDeviceIDs|General,END,,,,,,,,,,,14,
37.492512,clRetainDevice|General,START,,,,,,,,,,,15,
37.495839,clRetainDevice|General,END,,,,,,,,,,,15,
37.513452,clGetDeviceInfo|General,START,,,,,,,,,,,16,
122.477667,clGetDeviceInfo|General,END,,,,,,,,,,,16,
122.490692,clGetDeviceInfo|General,START,,,,,,,,,,,17,
122.496953,clGetDeviceInfo|General,END,,,,,,,,,,,17,
122.51615,clCreateContext|General,START,,,,,,,,,,,18,
130.030334,clCreateContext|General,END,,,,,,,,,,,18,
130.038209,clCreateCommandQueue|General,START,,,,,,,,,,,19,
130.046565,clCreateCommandQueue|General,END,,,,,,,,,,,19,
165.143823,clCreateProgramWithBinary|General,START,,,,,,,,,,,20,
211.735036,clCreateProgramWithBinary|General,END,,,,,,,,,,,20,
211.750485,clBuildProgram|General,START,,,,,,,,,,,21,
211.755004,clBuildProgram|General,END,,,,,,,,,,,21,
211.757308,clGetProgramInfo|General,START,,,,,,,,,,,22,
211.759542,clGetProgramInfo|General,END,,,,,,,,,,,22,
211.761175,clGetProgramInfo|General,START,,,,,,,,,,,23,
211.762999,clGetProgramInfo|General,END,,,,,,,,,,,23,
211.766044,clRetainDevice|General,START,,,,,,,,,,,24,
