Compute Units: Running Time and Stalls
Compute Unit, Running Time (us), Intra-Kernel Dataflow Stalls (%), External Memory Stalls (%), External Stream Stalls (%)
maxPool_1,63.874,0.000,0.000,0.000
Convolution_1,63.874,0.000,0.000,0.000

Functions: Running Time and Stalls
Compute Unit, Function, Running Time (us), Intra-Kernel Dataflow Stalls (%), External Memory Stalls (%), External Stream Stalls (%)
Convolution_1,grp_dataflow_parent_loop_proc44_fu_1469,63.874,0.000,0.000,0.000
Convolution_1,grp_dataflow_parent_loop_proc44_fu_1469/dataflow_parent_loop_proc42_U0,63.874,0.000,0.000,0.000

Compute Units: Port Data Transfer
Compute Unit, Port, Write Time (us), Outstanding Write (%), Read Time (us), Outstanding Read (%)
maxPool_1,m_axi_gmem5,0.000,0.000,0.000,0.000
maxPool_1,m_axi_gmem6,0.000,0.000,0.000,0.000
maxPool_1,m_axi_gmem7,0.000,0.000,0.000,0.000
Convolution_1,m_axi_gmem0,0.000,0.000,0.000,0.000
Convolution_1,m_axi_gmem1,0.000,0.000,0.000,0.000
Convolution_1,m_axi_gmem2,0.000,0.000,0.000,0.000
Convolution_1,m_axi_gmem3,0.000,0.000,0.000,0.000

